timestamp,x,y,z
0,3.69,-5.94,8.16
10,4.02,-5.68,7.51
20,4.04,-5.61,7.33
30,3.81,-5.61,7.39
40,3.53,-5.56,7.38
50,3.19,-5.49,7.11
60,2.91,-5.43,6.78
70,2.42,-5.38,6.52
80,1.53,-5.32,6.51
90,0.45,-5.29,6.83
100,-0.68,-5.2,7.23
110,-1.96,-4.94,7.57
120,-3.66,-4.62,7.82
130,-6.64,-4.1,7.78
140,-11.71,-3.36,7.51
150,-16.71,-2.63,7.35
160,-19.06,-2.1,7.23
170,-18.92,-1.65,6.85
180,-16.02,-1.78,6.41
190,-13.41,-1.84,5.99
200,-12.23,-2.08,5.96
210,-11.91,-2.24,6.14
220,-11.75,-2.2,6.58
230,-11.9,-2.08,7.48
240,-12.14,-1.76,8.66
250,-10.96,-1.01,9.7
260,-8.43,0.05,10.2
270,-5.76,1.07,10.93
280,-3.01,1.93,11.42
290,0.05,2.81,11.01
300,2.92,3.13,10.64
310,5.16,3.27,10.8
320,7.57,4.07,10.21
330,10.58,4.72,9.55
340,13.75,5.26,9.42
350,16.97,5.79,9.55
360,20.22,5.75,10.2
370,22.6,5.31,11.64
380,23.75,4.73,12.4
390,24.3,4.38,11.78
400,25.0,4.03,10.14
410,25.77,3.68,8.8
420,26.23,3.25,7.79
430,25.83,2.78,7.38
440,24.5,2.26,7.1
450,23.03,1.77,6.24
460,22.02,1.6,4.65
470,21.57,2.01,2.44
480,21.48,2.77,0.74
490,21.42,3.47,0.2
500,21.23,4.14,0.5
510,20.44,4.88,1.71
520,18.84,5.6,3.6
530,16.34,6.15,5.61
540,13.12,6.54,7.26
550,9.51,6.71,8.64
560,5.73,6.76,8.83
570,1.53,6.89,8.0
580,-1.39,6.66,7.35
590,-2.55,6.3,7.16
600,-3.15,6.09,7.34
610,-5.08,5.96,8.76
620,-8.25,5.33,10.95
630,-11.47,4.31,13.37
640,-12.82,3.32,14.77
650,-12.45,2.87,13.84
660,-12.74,3.06,11.85
670,-14.64,3.34,11.37
680,-16.52,3.34,12.36
690,-17.9,3.09,13.92
700,-18.76,2.87,15.67
710,-18.83,2.66,16.86
720,-18.56,2.41,17.79
730,-18.27,2.16,18.24
740,-17.68,2.17,17.48
750,-16.75,2.5,15.87
760,-15.75,2.88,13.91
770,-14.39,3.35,11.43
780,-12.87,3.62,8.9
790,-11.06,3.73,7.01
800,-9.23,3.75,5.67
810,-7.49,3.82,4.7
820,-5.88,4.03,4.38
830,-4.05,4.17,4.75
840,-1.9,4.19,5.79
850,0.03,4.2,7.14
860,1.3,4.38,8.32
870,2.65,4.74,8.96
880,4.26,5.32,9.22
890,5.91,6.08,8.77
900,7.93,6.7,7.67
910,10.49,6.98,6.54
920,13.82,7.24,6.68
930,17.0,6.83,7.91
940,19.12,6.41,9.67
950,20.4,5.82,11.64
960,20.57,5.06,12.69
970,19.95,4.55,12.3
980,19.37,4.2,10.73
990,19.4,3.62,8.88
1000,19.38,2.65,7.75
