timestamp,x,y,z
0,0.71,-6.6,6.83
10,0.77,-6.55,6.71
20,0.88,-6.51,6.53
30,0.93,-6.55,6.47
40,0.88,-6.53,6.23
50,0.73,-6.39,5.96
60,0.53,-6.32,5.78
70,0.41,-6.28,5.64
80,0.27,-6.27,5.67
90,-0.0,-6.23,5.77
100,-0.59,-6.28,5.95
110,-1.52,-6.34,6.11
120,-2.46,-6.26,6.16
130,-3.54,-6.17,5.99
140,-4.91,-6.02,5.75
150,-7.12,-5.83,5.59
160,-9.79,-5.83,5.21
170,-12.85,-5.94,4.99
180,-15.69,-6.03,5.12
190,-17.84,-6.39,5.94
200,-19.28,-6.69,7.59
210,-19.58,-6.87,9.24
220,-18.62,-6.72,10.2
230,-17.47,-6.43,10.38
240,-16.15,-5.29,9.62
250,-14.66,-4.24,8.34
260,-12.4,-3.04,7.49
270,-9.57,-1.82,6.73
280,-6.82,-0.41,5.96
290,-4.6,1.05,4.91
300,-2.07,2.41,3.92
310,0.36,3.79,3.33
320,2.98,4.93,3.31
330,5.51,5.76,4.57
340,7.7,7.07,6.26
350,10.5,7.95,8.56
360,12.84,8.19,11.95
370,14.75,8.62,14.39
380,17.43,8.96,15.58
390,20.09,9.09,15.98
400,22.49,8.55,16.14
410,22.53,8.19,15.6
420,23.48,7.68,14.11
430,24.39,6.93,12.59
440,24.0,6.14,11.37
450,23.01,5.29,9.72
460,21.97,4.52,8.12
470,20.87,3.97,6.71
480,19.83,4.1,5.15
490,18.92,4.86,3.27
500,18.34,5.55,1.72
510,17.59,6.03,1.61
520,16.61,6.42,2.66
530,15.18,6.85,3.95
540,14.36,7.3,5.43
550,14.31,7.89,6.85
560,15.13,8.05,7.64
570,15.07,7.78,7.67
580,12.62,7.3,7.46
590,9.39,6.53,7.27
600,6.73,5.87,7.17
610,5.28,5.37,6.99
620,4.23,5.18,6.44
630,3.1,5.28,5.64
640,1.51,5.7,3.91
650,-1.09,6.32,2.15
660,-3.78,6.41,3.69
670,-6.14,5.6,9.12
680,-7.54,3.79,16.04
690,-7.61,1.54,21.47
700,-7.2,-0.35,23.47
710,-7.38,-1.48,21.73
720,-8.66,-1.45,17.15
730,-10.3,-0.71,11.65
740,-11.97,-0.27,9.41
750,-13.27,-0.75,11.7
760,-13.95,-1.47,15.06
770,-13.66,-1.94,18.11
780,-13.0,-2.71,20.59
790,-12.3,-3.15,21.33
800,-12.22,-2.65,18.96
810,-13.3,-1.68,15.38
820,-14.99,-0.93,13.31
830,-15.78,-0.28,13.03
840,-15.05,0.45,13.31
850,-13.18,1.13,13.17
860,-10.31,1.75,12.55
870,-6.67,2.45,12.26
880,-3.77,2.9,12.64
890,-2.52,3.22,12.81
900,-2.15,3.64,12.39
910,-2.07,4.15,11.2
920,-1.72,4.61,9.72
930,-1.62,4.75,9.27
940,-0.55,4.33,8.59
950,0.47,4.43,9.09
960,1.5,5.64,9.49
970,3.19,6.66,9.7
980,5.58,7.35,10.39
990,8.55,7.81,10.98
1000,10.53,7.53,11.62
