timestamp,x,y,z
0,2.25,-3.19,9.77
10,2.17,-3.21,9.67
20,2.25,-3.18,9.5
30,2.36,-3.28,9.4
40,2.46,-3.22,9.5
50,2.88,-2.99,9.19
60,3.52,-2.77,8.86
70,5.22,-2.26,7.94
80,8.58,-1.97,8.54
90,13.63,-3.77,11.47
100,14.91,-3.5,21.22
110,14.94,-3.95,29.63
120,13.54,-4.01,30.25
130,10.53,-3.44,26.96
140,7.56,-3.46,23.24
150,5.74,-3.49,20.2
160,5.26,-3.23,17.37
170,5.42,-2.74,15.51
180,5.31,-2.19,14.41
190,5.14,-1.54,13.07
200,4.74,-0.77,11.31
210,3.93,0.3,9.6
220,2.26,1.27,7.9
230,-1.1,2.11,5.53
240,-6.35,2.66,3.76
250,-12.15,2.76,2.96
260,-16.8,2.85,2.78
270,-20.14,3.38,2.38
280,-22.16,3.4,1.24
290,-22.97,2.97,0.59
300,-23.02,2.35,0.31
310,-22.34,1.99,-0.48
320,-21.87,1.74,-1.7
330,-20.71,1.67,-3.15
340,-19.26,1.66,-4.58
350,-17.34,1.76,-5.87
360,-15.51,1.81,-7.28
370,-14.83,1.72,-8.64
380,-15.05,2.02,-8.97
390,-13.71,2.42,-7.98
400,-11.15,2.67,-6.12
410,-8.54,3.04,-3.81
420,-5.54,3.45,-0.25
430,-2.84,2.93,4.33
440,-2.24,1.8,8.69
450,-2.06,0.83,12.38
460,-0.64,0.07,14.54
470,1.49,-0.23,14.55
480,4.17,0.14,13.12
490,7.63,0.96,10.97
500,11.67,1.4,8.91
510,15.33,1.66,8.22
520,18.64,2.3,9.6
530,20.86,2.09,14.98
540,19.22,1.06,23.15
550,16.67,0.15,28.58
560,15.08,-0.57,29.08
570,14.19,-1.02,26.0
580,14.05,-0.9,21.33
590,14.09,-0.65,16.17
600,14.72,-0.11,12.13
610,15.53,0.36,9.58
620,15.64,0.62,8.89
630,15.11,1.1,9.26
640,14.17,1.59,10.05
650,12.25,1.93,10.85
660,9.41,2.16,11.2
670,5.88,2.35,10.67
680,2.55,2.35,9.55
690,0.14,2.47,8.19
700,-0.95,2.55,7.11
710,-1.83,2.71,5.96
720,-3.66,3.01,4.04
730,-8.0,2.92,2.33
740,-13.11,2.17,2.62
750,-16.02,0.74,4.46
760,-15.54,-0.46,6.76
770,-13.06,-0.81,7.89
780,-12.19,-0.47,6.37
790,-15.38,0.0,4.16
800,-20.54,-0.11,3.61
810,-25.48,-0.83,4.79
820,-27.94,-1.73,6.86
830,-27.85,-2.32,8.97
840,-25.44,-2.67,10.35
850,-21.74,-2.76,10.43
860,-18.16,-2.44,9.5
870,-15.1,-1.85,7.96
880,-12.57,-1.22,5.91
890,-10.72,-0.42,3.74
900,-9.59,0.26,1.91
910,-8.74,0.6,2.15
920,-7.98,0.69,4.3
930,-6.65,0.64,6.62
940,-6.59,0.96,10.3
950,-2.75,0.85,11.36
960,-2.06,0.68,13.02
970,-2.53,0.63,13.25
980,-2.26,0.92,12.48
990,-0.13,1.5,10.89
1000,2.94,2.15,9.68
