timestamp,x,y,z
0,5.81,-1.92,7.73
10,5.93,-1.88,7.83
20,6.27,-1.77,8.31
30,6.45,-1.68,8.87
40,6.27,-1.57,9.34
50,6.62,-1.58,9.56
60,8.27,-2.24,8.95
70,9.07,-2.59,9.29
80,9.45,-2.72,10.16
90,11.4,-2.88,10.26
100,11.09,-2.61,11.14
110,13.64,-1.46,10.89
120,20.25,-1.41,10.23
130,26.68,-2.02,10.57
140,27.06,-3.14,10.26
150,21.47,-3.33,8.32
160,17.16,-3.5,7.11
170,16.1,-4.11,6.4
180,16.18,-4.28,5.33
190,16.12,-3.72,4.63
200,15.8,-3.24,4.46
210,15.13,-3.01,4.67
220,13.84,-2.89,4.69
230,12.06,-2.67,4.33
240,10.25,-2.41,3.74
250,8.54,-2.17,3.25
260,6.81,-1.97,2.89
270,5.35,-1.82,2.69
280,4.27,-1.75,2.6
290,3.51,-1.76,2.47
300,2.73,-1.75,2.38
310,1.82,-1.77,2.15
320,0.85,-1.8,1.92
330,-0.21,-1.84,1.56
340,-1.41,-1.83,1.27
350,-2.63,-1.82,1.06
360,-3.33,-1.76,1.0
370,-3.26,-1.65,1.15
380,-2.79,-1.54,1.4
390,-2.47,-1.32,1.73
400,-2.6,-1.25,2.32
410,-3.08,-1.25,3.4
420,-4.75,-1.64,5.66
430,-6.33,-1.99,7.29
440,-7.53,-2.28,8.78
450,-8.1,-2.54,9.63
460,-8.55,-2.66,9.73
470,-9.02,-2.76,9.72
480,-9.97,-2.74,9.6
490,-11.16,-2.69,9.57
500,-11.96,-2.72,9.97
510,-12.32,-2.85,10.61
520,-12.44,-3.01,11.1
530,-12.39,-3.06,11.63
540,-11.91,-3.04,12.08
550,-11.11,-3.04,12.26
560,-10.32,-2.87,12.15
570,-9.71,-2.45,11.54
580,-9.1,-1.92,10.69
590,-8.19,-1.31,9.99
600,-6.91,-0.7,9.4
610,-5.42,-0.15,9.06
620,-3.89,0.33,8.86
630,-2.32,0.66,8.6
640,-0.79,0.99,8.25
650,0.56,1.39,8.06
660,1.73,1.83,8.24
670,2.9,2.21,8.39
680,4.08,2.72,8.5
690,5.38,3.27,8.67
700,6.72,3.8,9.07
710,8.55,4.1,9.78
720,11.13,3.97,10.56
730,13.68,3.68,11.16
740,15.39,3.5,11.1
750,15.45,4.0,10.47
760,16.79,4.49,8.99
770,19.71,4.61,7.86
780,22.63,4.46,7.62
790,24.57,3.93,7.98
800,25.13,3.03,8.69
810,24.63,2.04,9.15
820,23.33,1.08,9.4
830,21.42,0.27,9.16
840,19.81,-0.31,8.01
850,18.68,-0.39,5.91
860,17.71,0.12,3.85
870,16.94,0.9,2.33
880,16.64,1.58,1.51
890,16.29,2.28,1.37
900,16.01,2.96,1.76
910,15.81,3.39,2.48
920,15.5,3.32,3.62
930,15.17,3.15,4.68
940,14.51,3.22,5.1
950,13.76,3.69,5.05
960,13.15,4.7,4.2
970,12.38,5.83,3.25
980,11.38,6.77,2.86
990,9.99,7.68,2.72
1000,7.92,8.3,3.29
