timestamp,x,y,z
0,2.62,-6.54,6.52
10,2.86,-6.56,6.41
20,3.05,-6.53,6.25
30,3.19,-6.5,6.0
40,3.22,-6.45,5.77
50,3.19,-6.35,5.59
60,3.17,-6.22,5.45
70,3.12,-6.05,5.31
80,2.67,-5.91,5.19
90,1.78,-5.77,5.44
100,0.55,-5.71,6.13
110,-1.19,-5.6,6.99
120,-3.07,-5.46,7.83
130,-5.05,-5.37,8.54
140,-7.87,-5.37,9.56
150,-10.97,-5.39,10.66
160,-13.51,-5.59,11.6
170,-15.19,-5.87,12.41
180,-15.48,-6.0,12.4
190,-14.93,-5.97,11.78
200,-14.45,-5.56,10.54
210,-14.64,-4.85,9.0
220,-15.04,-4.11,7.99
230,-14.66,-3.47,8.02
240,-13.25,-2.91,8.34
250,-10.97,-2.31,8.6
260,-8.49,-1.43,8.36
270,-6.31,-0.21,7.47
280,-4.68,0.91,6.82
290,-3.14,1.94,6.31
300,-1.56,2.9,5.58
310,-0.16,3.7,5.31
320,1.66,4.38,5.95
330,4.27,5.21,7.4
340,7.69,6.11,9.25
350,11.17,6.62,11.2
360,13.21,6.72,13.0
370,14.0,6.5,14.28
380,14.66,6.35,14.49
390,16.07,6.15,14.48
400,17.11,5.42,14.86
410,17.81,4.48,15.46
420,17.91,3.36,15.52
430,17.59,2.66,14.39
440,18.12,2.56,12.06
450,19.38,2.95,9.34
460,20.79,3.31,7.85
470,21.86,3.61,7.27
480,22.42,3.86,7.15
490,22.11,4.24,7.22
500,21.17,4.48,7.68
510,20.14,4.28,8.16
520,18.96,4.17,8.02
530,17.69,4.3,7.66
540,16.85,4.71,7.43
550,16.66,5.52,7.15
560,17.01,6.45,6.51
570,17.6,7.11,5.92
580,17.7,7.77,5.46
590,16.59,8.62,5.45
600,14.34,9.06,6.31
610,11.65,9.11,7.75
620,8.94,8.99,9.5
630,7.06,8.3,11.1
640,6.61,7.33,11.82
650,6.01,6.94,11.55
660,4.14,7.34,10.04
670,1.12,7.71,8.34
680,-1.94,7.59,7.61
690,-3.53,6.8,7.51
700,-3.84,5.55,8.06
710,-3.97,4.56,8.37
720,-4.42,4.42,7.11
730,-6.0,5.17,4.99
740,-8.7,5.47,5.33
750,-11.46,4.66,8.45
760,-13.01,3.13,12.98
770,-12.82,1.22,16.76
780,-11.57,-0.68,18.52
790,-10.61,-1.47,17.9
800,-11.13,-0.76,14.52
810,-13.36,0.57,9.72
820,-15.81,1.75,6.84
830,-17.56,2.29,7.08
840,-17.88,1.84,9.97
850,-16.55,1.07,13.82
860,-14.33,0.11,17.11
870,-12.85,-0.59,18.89
880,-11.72,-0.63,17.9
890,-11.38,0.02,14.99
900,-11.84,0.94,12.14
910,-12.34,1.93,9.92
920,-12.45,2.62,9.03
930,-11.61,3.05,9.56
940,-9.99,3.58,10.71
950,-7.75,4.33,11.32
960,-5.18,4.98,11.28
970,-2.61,5.2,11.05
980,-0.54,5.23,10.55
990,0.64,5.57,9.58
1000,1.33,6.33,8.95
