timestamp,x,y,z
0,0.37,-6.25,6.89
10,0.28,-6.29,6.8
20,0.22,-6.35,6.9
30,0.22,-6.44,7.02
40,0.32,-6.46,7.1
50,0.59,-6.42,7.11
60,0.74,-6.35,7.08
70,0.63,-6.21,6.96
80,0.3,-6.04,6.81
90,-0.11,-5.86,6.69
100,-0.6,-5.69,6.56
110,-1.53,-5.5,6.44
120,-2.46,-5.26,6.3
130,-3.07,-4.91,6.24
140,-3.82,-4.46,6.04
150,-5.31,-3.78,5.79
160,-7.57,-2.96,5.79
170,-9.99,-2.48,5.94
180,-12.11,-2.52,6.32
190,-13.57,-2.68,6.63
200,-14.18,-2.78,7.11
210,-13.76,-2.76,7.56
220,-12.91,-2.55,7.82
230,-11.85,-2.28,7.85
240,-11.11,-2.19,7.81
250,-10.73,-2.27,7.92
260,-10.32,-2.21,7.98
270,-9.57,-1.89,8.0
280,-8.16,-1.2,7.92
290,-6.32,-0.28,8.0
300,-4.17,0.75,8.44
310,-1.6,1.91,8.75
320,1.73,2.89,9.44
330,5.28,3.32,10.53
340,8.33,3.08,12.16
350,11.25,2.67,12.89
360,13.01,2.67,12.52
370,13.78,2.64,11.22
380,14.15,2.56,9.34
390,14.71,2.65,7.18
400,16.03,2.9,5.16
410,17.45,3.11,4.29
420,18.56,3.29,4.61
430,19.69,3.42,5.28
440,20.79,3.46,6.22
450,22.15,3.24,6.78
460,23.39,3.13,6.39
470,23.86,2.94,5.43
480,23.76,2.69,4.01
490,23.25,2.42,2.38
500,22.43,2.17,0.87
510,22.01,1.92,-0.66
520,21.35,1.97,-1.88
530,20.44,2.27,-2.66
540,19.55,2.64,-3.18
550,18.4,3.01,-3.44
560,17.08,3.22,-3.61
570,16.08,3.22,-3.37
580,15.01,3.21,-2.47
590,14.41,3.22,-1.09
600,14.36,3.4,0.16
610,14.04,3.71,1.58
620,13.6,4.09,3.0
630,13.32,4.63,3.44
640,12.32,5.14,3.03
650,10.75,5.7,2.04
660,8.26,6.2,1.3
670,4.74,6.53,1.77
680,1.35,6.39,3.32
690,-1.46,5.87,5.96
700,-2.55,5.11,9.0
710,-2.39,4.27,11.31
720,-2.78,3.56,13.24
730,-3.61,3.06,13.92
740,-4.63,2.77,13.9
750,-5.77,2.43,14.24
760,-6.4,2.0,13.92
770,-7.08,1.75,13.68
780,-8.27,1.79,13.5
790,-9.57,1.82,12.93
800,-11.21,1.76,13.36
810,-12.31,1.53,14.7
820,-12.89,1.15,16.19
830,-13.37,0.6,17.92
840,-13.76,0.16,19.07
850,-14.22,-0.16,18.81
860,-14.64,-0.2,17.48
870,-14.66,0.1,15.36
880,-14.31,0.42,13.44
890,-13.43,0.62,11.99
900,-12.12,0.75,10.85
910,-10.77,0.99,10.17
920,-9.18,1.19,9.86
930,-7.73,1.47,9.91
940,-6.58,1.89,10.08
950,-5.71,2.34,10.27
960,-4.8,2.53,10.47
970,-3.61,2.58,10.38
980,-2.47,2.67,9.99
990,-1.32,2.81,9.55
1000,-0.16,2.92,9.2
