timestamp,x,y,z
0,7.19,-4.66,6.34
10,7.46,-4.76,6.05
20,7.75,-4.82,5.87
30,7.58,-4.83,5.67
40,7.37,-4.82,5.51
50,6.83,-4.78,5.42
60,6.11,-4.65,5.44
70,5.02,-4.67,5.61
80,4.28,-4.66,6.25
90,3.45,-4.82,6.97
100,2.55,-4.83,7.88
110,1.88,-5.0,8.71
120,1.69,-5.4,9.56
130,1.7,-5.96,10.67
140,1.7,-6.63,11.98
150,2.09,-7.11,13.23
160,2.45,-7.35,13.72
170,2.38,-7.26,13.01
180,2.59,-7.06,11.95
190,2.6,-6.76,11.39
200,2.49,-6.74,10.43
210,1.11,-6.4,9.96
220,0.19,-6.1,9.62
230,-0.29,-5.83,9.32
240,-0.92,-5.39,8.01
250,-2.21,-4.87,5.94
260,-3.55,-4.39,4.15
270,-3.9,-4.21,2.91
280,-4.33,-4.03,2.04
290,-4.84,-3.79,1.72
300,-4.33,-3.61,2.24
310,-4.67,-3.4,4.03
320,-7.49,-2.94,5.29
330,-12.67,-2.27,5.31
340,-17.65,-1.54,5.59
350,-20.1,-1.1,6.42
360,-20.32,-0.57,6.7
370,-19.19,-0.24,7.03
380,-18.09,-0.06,7.77
390,-17.46,0.12,8.12
400,-16.61,0.23,7.98
410,-15.92,0.2,7.53
420,-15.47,0.08,7.19
430,-15.52,-0.1,7.02
440,-14.71,-0.19,7.54
450,-12.37,-0.09,8.62
460,-9.46,0.45,9.0
470,-6.69,0.84,8.89
480,-4.22,0.94,8.97
490,-2.09,1.14,8.75
500,0.11,1.53,8.26
510,2.8,1.67,7.74
520,5.55,1.74,7.39
530,7.42,1.96,6.91
540,9.53,2.14,7.18
550,11.96,2.52,7.01
560,14.51,2.76,6.8
570,16.98,2.85,7.18
580,19.46,2.97,7.5
590,21.95,2.97,7.91
600,24.05,2.94,7.84
610,26.41,3.28,6.54
620,28.94,3.07,6.09
630,30.17,2.36,7.3
640,28.88,2.01,7.13
650,26.18,2.34,5.7
660,23.89,2.67,4.6
670,22.35,3.22,3.96
680,21.1,3.9,3.94
690,20.32,4.09,5.75
700,19.71,4.23,8.22
710,18.99,4.29,10.16
720,17.69,3.99,11.95
730,14.95,4.13,12.39
740,11.12,4.61,11.35
750,6.77,5.01,9.45
760,2.65,5.35,7.12
770,0.13,5.46,4.84
780,-1.93,5.37,3.5
790,-5.49,5.4,3.89
800,-10.31,4.99,6.58
810,-14.38,3.86,10.95
820,-15.21,2.38,16.8
830,-13.75,0.62,21.57
840,-11.99,0.42,21.16
850,-10.32,1.34,14.15
860,-13.59,1.87,8.42
870,-19.96,1.64,6.69
880,-28.35,0.25,6.73
890,-34.99,-0.7,10.16
900,-36.68,-2.36,16.03
910,-33.18,-5.0,20.63
920,-26.69,-5.76,21.3
930,-21.97,-4.69,18.25
940,-19.02,-3.14,12.76
950,-16.35,-1.78,7.92
960,-13.79,-0.74,4.04
970,-11.61,0.1,1.72
980,-9.4,0.73,1.19
990,-7.32,1.07,2.84
1000,-5.32,1.34,5.82
