timestamp,x,y,z
0,0.43,-5.17,6.8
10,0.68,-5.2,7.03
20,1.01,-5.32,7.58
30,1.4,-5.5,8.18
40,1.54,-5.69,8.65
50,1.53,-5.66,8.68
60,1.56,-5.61,8.37
70,1.59,-5.55,7.92
80,1.7,-5.49,7.53
90,1.72,-5.55,7.18
100,1.43,-5.63,7.05
110,1.29,-5.73,7.05
120,1.19,-5.77,7.06
130,0.78,-5.78,7.16
140,0.26,-5.77,7.31
150,-0.34,-5.74,7.41
160,-1.04,-5.72,7.46
170,-1.85,-5.7,7.4
180,-2.86,-5.64,7.38
190,-4.18,-5.47,7.49
200,-5.75,-5.25,7.68
210,-7.41,-5.09,8.03
220,-8.97,-4.94,8.55
230,-10.24,-4.83,8.85
240,-11.02,-4.92,8.83
250,-11.59,-5.15,8.4
260,-12.24,-5.18,7.67
270,-13.04,-5.18,7.04
280,-13.66,-5.13,6.83
290,-14.22,-5.04,7.39
300,-14.2,-4.86,8.48
310,-13.44,-4.53,9.51
320,-11.73,-4.02,10.02
330,-9.67,-3.21,9.53
340,-7.46,-2.22,8.35
350,-5.2,-1.18,7.36
360,-3.28,-0.02,6.65
370,-1.58,1.13,5.84
380,0.35,2.2,5.28
390,2.61,3.0,5.27
400,4.73,3.68,5.8
410,6.55,4.31,6.68
420,8.7,5.11,7.76
430,11.14,6.43,8.74
440,13.98,7.64,9.74
450,16.52,8.31,11.31
460,18.38,8.34,13.3
470,20.32,7.79,14.42
480,21.25,6.98,14.78
490,21.77,6.39,14.67
500,22.26,5.42,14.69
510,22.26,4.23,14.07
520,21.56,3.43,12.64
530,21.09,2.6,10.13
540,20.05,2.04,8.28
550,18.87,1.94,6.36
560,18.15,2.43,4.42
570,17.71,3.42,3.01
580,17.37,4.33,2.38
590,17.16,5.04,2.85
600,16.99,5.5,3.96
610,17.09,6.1,5.43
620,17.26,6.46,6.69
630,16.05,6.73,7.8
640,13.98,7.0,7.81
650,12.28,7.06,7.44
660,10.3,6.94,7.84
670,8.25,6.94,8.03
680,6.65,7.05,7.44
690,5.16,6.88,7.56
700,3.7,6.49,8.43
710,2.82,5.72,9.41
720,1.64,4.89,10.61
730,0.03,4.37,10.65
740,-1.9,3.92,9.95
750,-3.48,3.51,9.43
760,-4.65,3.23,9.05
770,-5.01,2.78,9.41
780,-5.11,2.03,10.9
790,-4.71,1.37,11.95
800,-4.72,0.7,13.17
810,-5.83,0.36,13.78
820,-7.07,0.28,13.63
830,-8.19,0.22,13.92
840,-8.9,0.18,14.5
850,-9.36,0.01,15.73
860,-9.87,-0.07,17.32
870,-9.96,-0.18,18.46
880,-9.47,-0.39,19.64
890,-8.71,-0.71,20.58
900,-8.13,-0.88,20.51
910,-8.09,-0.72,19.26
920,-8.19,-0.13,16.77
930,-8.2,0.45,14.23
940,-8.01,0.75,12.48
950,-7.55,0.87,11.17
960,-6.87,0.89,10.35
970,-6.02,0.94,9.82
980,-5.07,1.12,9.33
990,-4.14,1.34,8.76
1000,-3.28,1.64,8.28
