timestamp,x,y,z
0,3.01,-3.74,6.72
10,3.03,-3.93,6.95
20,3.2,-4.1,7.58
30,3.53,-4.3,8.3
40,4.13,-4.26,8.81
50,4.56,-4.31,8.84
60,4.6,-4.42,8.49
70,4.45,-4.44,8.04
80,4.3,-4.3,7.4
90,4.17,-4.24,6.38
100,4.25,-4.17,5.36
110,4.38,-4.36,3.9
120,5.09,-4.41,2.46
130,6.07,-4.38,1.25
140,6.82,-4.47,0.44
150,7.24,-4.36,-0.44
160,7.3,-3.64,-1.93
170,6.85,-2.74,-4.22
180,6.33,-1.89,-6.15
190,6.38,-0.25,-7.3
200,6.33,1.55,-7.27
210,5.59,4.16,-6.76
220,4.02,6.28,-5.21
230,1.68,8.1,-2.28
240,-0.96,9.38,1.62
250,-3.27,10.48,4.78
260,-5.52,10.68,7.2
270,-6.5,10.64,9.05
280,-6.45,10.87,10.64
290,-7.05,11.86,10.56
300,-8.18,12.29,10.46
310,-8.84,12.25,12.21
320,-8.88,12.5,15.09
330,-8.92,11.9,19.16
340,-9.33,11.16,24.58
350,-9.72,11.15,28.76
360,-10.47,11.54,30.09
370,-10.88,11.48,28.02
380,-9.98,12.22,22.85
390,-7.43,12.02,12.02
400,-4.81,11.66,7.87
410,-4.03,11.59,7.35
420,-3.96,11.28,8.28
430,-3.69,10.98,8.71
440,-4.23,10.63,9.4
450,-5.34,10.75,10.97
460,-4.71,11.16,13.18
470,-3.0,11.45,15.32
480,0.33,11.88,17.65
490,5.68,12.32,21.57
500,10.87,12.84,25.62
510,12.08,13.29,23.33
520,10.53,14.46,17.43
530,9.83,14.9,12.84
540,9.9,15.57,11.25
550,10.98,17.05,12.6
560,11.95,18.03,14.45
570,12.79,18.5,15.42
580,14.06,18.89,15.34
590,15.35,18.55,14.65
600,15.69,18.25,12.91
610,15.34,17.34,9.48
620,14.53,14.57,4.2
630,11.82,11.37,0.9
640,7.34,8.19,-0.48
650,5.08,5.96,-0.94
660,4.77,4.03,-0.58
670,5.34,2.8,-0.84
680,5.29,1.88,-1.27
690,4.21,1.09,-2.04
700,2.93,0.45,-2.81
710,1.76,-0.26,-3.49
720,1.4,-1.04,-3.97
730,1.19,-1.36,-4.17
740,0.87,-1.28,-4.19
750,0.45,-1.05,-4.14
760,-0.27,-0.71,-3.63
770,-1.74,-0.44,-2.79
780,-3.32,-0.32,-1.19
790,-4.87,-0.32,1.06
800,-6.22,-0.59,3.6
810,-7.61,-1.08,6.22
820,-8.37,-1.72,8.25
830,-8.66,-2.31,9.6
840,-9.02,-2.82,10.42
850,-9.87,-3.24,11.53
860,-11.12,-3.55,12.89
870,-12.55,-3.96,14.24
880,-13.44,-4.46,15.12
890,-12.94,-4.79,15.13
900,-10.86,-4.76,14.27
910,-7.95,-4.64,12.87
920,-5.1,-4.58,11.39
930,-2.83,-4.55,10.15
940,-1.42,-4.62,9.18
950,-0.88,-4.81,8.71
960,-1.27,-5.15,8.76
970,-2.19,-5.41,9.11
980,-3.08,-5.56,9.31
990,-3.51,-5.63,9.2
1000,-3.36,-5.56,8.82
