timestamp,x,y,z
0,-0.61,-4.19,8.28
10,-1.1,-4.2,8.23
20,-1.79,-4.3,8.24
30,-2.54,-4.32,8.3
40,-3.48,-4.26,8.26
50,-3.85,-4.15,8.2
60,-3.51,-4.11,8.43
70,-2.34,-4.02,8.83
80,-1.07,-4.01,9.29
90,-0.11,-4.1,9.71
100,0.4,-4.21,10.09
110,0.41,-4.21,10.39
120,0.31,-4.21,10.83
130,0.9,-4.22,11.33
140,2.19,-4.27,11.47
150,3.78,-4.27,11.38
160,5.17,-4.12,11.09
170,6.41,-4.07,10.6
180,7.73,-4.08,9.73
190,8.97,-4.08,8.93
200,9.63,-4.14,8.18
210,9.81,-4.23,7.42
220,9.98,-4.36,6.06
230,9.71,-4.88,5.08
240,9.6,-4.56,5.02
250,11.57,-4.44,5.57
260,14.34,-4.21,6.08
270,16.74,-2.79,4.83
280,17.28,-1.38,1.7
290,14.85,0.47,-1.99
300,9.61,2.26,-5.18
310,3.11,4.47,-5.41
320,0.11,6.1,-4.18
330,-2.65,7.2,-1.79
340,-4.88,8.04,0.57
350,-5.26,8.42,3.21
360,-5.03,8.87,5.82
370,-5.72,9.16,8.21
380,-6.47,9.06,10.81
390,-7.53,8.98,13.07
400,-7.61,8.61,13.97
410,-6.96,8.5,13.99
420,-6.53,8.64,13.25
430,-6.46,8.68,12.69
440,-7.16,8.88,12.25
450,-7.77,8.96,11.66
460,-8.02,9.14,11.56
470,-8.08,9.4,13.04
480,-7.36,9.5,16.28
490,-6.91,9.62,20.29
500,-6.71,9.84,22.32
510,-5.31,10.22,21.5
520,-4.33,10.89,18.18
530,-3.11,11.57,13.63
540,-2.64,12.26,9.76
550,-2.12,12.73,7.39
560,-1.61,12.74,6.83
570,-1.67,12.83,7.9
580,-1.12,13.13,10.28
590,0.31,13.58,13.99
600,3.52,14.33,18.8
610,7.56,15.32,22.86
620,11.66,16.27,25.07
630,14.52,17.45,25.71
640,15.06,19.19,24.75
650,14.4,21.28,22.54
660,13.53,22.44,16.4
670,13.26,22.64,9.43
680,12.59,20.89,5.2
690,12.19,18.54,4.79
700,13.19,16.17,5.8
710,13.8,14.07,6.13
720,13.03,12.12,5.15
730,10.88,10.23,2.93
740,8.24,8.16,0.38
750,6.64,5.94,-2.03
760,6.76,3.51,-3.96
770,7.75,1.39,-5.26
780,8.05,-0.19,-5.9
790,7.05,-1.28,-6.04
800,5.12,-1.98,-5.97
810,3.25,-2.49,-6.14
820,1.58,-2.77,-6.79
830,-0.1,-2.96,-7.68
840,-1.57,-2.96,-7.85
850,-2.11,-2.83,-7.8
860,-1.68,-2.24,-7.06
870,0.04,-1.55,-5.87
880,1.51,-0.2,-4.59
890,2.34,1.04,-2.64
900,2.4,2.05,0.01
910,1.42,2.94,2.6
920,-1.34,3.82,4.88
930,-4.11,4.41,7.05
940,-4.96,4.31,9.84
950,-4.6,3.79,13.53
960,-4.52,3.12,17.99
970,-5.91,2.55,22.27
980,-8.0,2.15,25.28
990,-9.17,1.71,26.01
1000,-8.57,1.43,24.19
