timestamp,x,y,z
0,0.56,-6.68,7.76
10,0.92,-6.9,8.26
20,1.28,-7.07,8.92
30,1.43,-7.34,9.57
40,1.59,-7.78,10.3
50,1.8,-8.1,11.26
60,3.2,-7.46,11.31
70,3.41,-7.16,11.37
80,3.6,-6.05,10.92
90,3.99,-5.06,9.87
100,4.58,-4.84,8.21
110,5.64,-5.08,6.17
120,6.85,-5.35,4.35
130,8.17,-5.88,3.19
140,9.56,-6.08,2.73
150,10.67,-5.9,2.71
160,11.59,-5.69,2.64
170,12.27,-5.46,2.6
180,12.38,-5.18,2.36
190,12.25,-4.9,1.51
200,12.16,-4.62,-0.5
210,11.78,-3.9,-3.08
220,11.01,-2.38,-5.21
230,10.05,-0.86,-6.51
240,8.33,0.34,-7.3
250,5.54,1.17,-6.33
260,1.31,2.23,-3.86
270,-4.27,3.57,-1.47
280,-10.03,4.87,0.51
290,-15.19,5.48,2.19
300,-17.53,6.54,3.76
310,-15.99,6.56,4.99
320,-13.16,6.39,6.22
330,-10.21,6.96,8.33
340,-6.81,6.37,10.68
350,-5.2,5.18,15.37
360,-6.11,4.44,22.34
370,-8.42,3.61,28.07
380,-10.07,3.95,29.89
390,-11.12,5.61,29.04
400,-11.72,7.56,26.53
410,-10.76,8.41,23.03
420,-7.86,8.81,19.03
430,-4.34,9.06,15.96
440,-0.68,8.81,13.49
450,2.76,8.3,11.66
460,4.88,7.47,11.09
470,5.73,6.74,11.38
480,5.53,6.13,12.09
490,5.31,5.77,12.94
500,5.03,5.55,13.71
510,4.95,5.59,15.31
520,6.02,5.84,16.85
530,8.32,6.67,17.42
540,10.87,7.47,17.08
550,13.17,8.02,16.35
560,15.5,8.07,15.93
570,17.24,8.2,15.98
580,18.69,8.88,15.44
590,18.69,9.61,14.37
600,19.07,9.21,12.96
610,18.83,8.4,11.5
620,18.39,7.12,9.99
630,17.21,5.85,8.41
640,16.29,4.89,6.47
650,15.01,3.9,4.65
660,13.48,3.2,3.1
670,12.04,2.44,1.59
680,10.48,1.63,0.17
690,8.8,0.81,-1.07
700,6.87,0.04,-1.85
710,5.05,-0.58,-2.2
720,3.37,-1.08,-2.19
730,1.95,-1.5,-2.2
740,0.59,-1.87,-2.45
750,-0.57,-2.15,-2.64
760,-1.35,-2.57,-2.32
770,-2.15,-2.79,-1.58
780,-3.15,-2.99,-0.64
790,-4.36,-3.32,0.25
800,-5.58,-3.72,0.89
810,-6.51,-4.16,1.19
820,-6.89,-4.46,1.14
830,-6.73,-4.71,0.94
840,-6.3,-4.97,0.57
850,-5.47,-5.27,-0.01
860,-4.55,-5.39,-1.21
870,-3.68,-5.0,-2.42
880,-3.62,-4.51,-1.82
890,-4.19,-4.13,1.11
900,-5.33,-4.24,5.67
910,-6.24,-4.77,10.81
920,-5.84,-5.07,14.0
930,-4.75,-4.64,16.46
940,-3.58,-4.03,17.72
950,-2.5,-4.2,17.9
960,-1.51,-4.75,17.41
970,-0.63,-5.17,16.63
980,0.02,-5.14,15.76
990,0.39,-5.19,15.0
1000,0.39,-5.33,14.31
