timestamp,x,y,z
0,1.87,-5.85,8.81
10,1.94,-6.0,8.49
20,2.0,-6.16,8.37
30,1.97,-6.18,8.49
40,1.89,-6.1,8.77
50,2.08,-6.02,8.86
60,2.73,-5.7,8.59
70,3.81,-5.28,7.58
80,5.06,-4.95,6.02
90,6.56,-4.72,4.25
100,8.43,-4.69,2.63
110,10.6,-4.96,1.42
120,12.31,-5.62,0.7
130,13.58,-6.26,-0.17
140,14.96,-6.1,-1.92
150,15.95,-4.48,-4.34
160,15.85,-1.97,-6.65
170,14.11,0.74,-8.74
180,11.09,3.79,-10.13
190,6.73,6.7,-8.85
200,1.76,9.28,-5.02
210,-2.72,11.12,0.06
220,-5.43,12.11,4.66
230,-6.54,12.84,8.29
240,-7.5,13.49,11.06
250,-8.77,13.02,13.38
260,-10.94,12.85,14.48
270,-13.78,12.93,15.04
280,-20.38,11.47,16.59
290,-24.49,10.3,18.9
300,-25.63,9.82,21.1
310,-24.11,9.61,22.39
320,-20.02,9.55,22.15
330,-15.06,9.13,20.13
340,-10.38,8.66,16.17
350,-6.97,8.29,11.61
360,-5.16,6.94,7.91
370,-4.79,5.93,5.88
380,-5.15,5.64,5.45
390,-5.21,5.54,5.64
400,-4.65,5.39,5.94
410,-4.22,5.17,6.33
420,-4.76,5.01,7.13
430,-5.46,4.79,8.46
440,-5.82,5.5,10.05
450,-5.48,6.68,12.0
460,-5.22,8.27,14.42
470,-4.9,10.21,17.11
480,-3.79,12.33,19.46
490,-1.57,14.73,21.37
500,1.97,17.56,22.98
510,4.08,19.31,23.78
520,5.49,21.39,25.02
530,7.59,24.36,26.89
540,9.61,25.45,27.51
550,12.62,23.74,25.14
560,17.39,20.79,19.29
570,20.8,16.02,11.61
580,18.45,12.01,5.73
590,14.93,8.61,3.72
600,11.35,5.82,4.25
610,8.74,3.53,6.0
620,7.45,2.13,6.85
630,7.08,1.69,6.65
640,7.26,1.54,5.73
650,6.95,1.27,4.04
660,5.79,0.94,1.89
670,4.18,0.95,0.08
680,2.47,1.02,-0.67
690,1.98,0.52,-0.66
700,0.44,0.02,-0.04
710,-5.0,-1.34,-2.68
720,-4.87,-2.2,-3.52
730,-6.28,-2.59,-4.39
740,-6.01,-2.73,-4.55
750,-5.25,-2.56,-4.61
760,-3.42,-1.73,-5.67
770,-3.6,-2.5,-9.6
780,-2.15,-1.2,-9.65
790,-2.83,-0.08,-7.55
800,-3.22,0.91,-3.28
810,-3.97,0.82,1.45
820,-4.68,-0.14,6.02
830,-6.6,-1.56,10.45
840,-10.08,-2.77,13.53
850,-14.09,-3.4,15.69
860,-17.07,-3.77,16.28
870,-18.76,-4.01,15.91
880,-20.27,-4.58,14.9
890,-17.62,-4.71,12.94
900,-12.99,-4.09,11.81
910,-8.13,-3.85,11.61
920,-3.88,-3.97,11.66
930,-0.47,-4.22,12.25
940,1.61,-4.62,13.12
950,2.27,-5.03,13.92
960,1.93,-5.4,14.12
970,0.86,-5.51,13.61
980,-0.39,-5.4,12.39
990,-1.2,-5.24,10.79
1000,-1.49,-5.13,9.18
