timestamp,x,y,z
0,-2.94,-3.4,8.02
10,-2.97,-3.41,7.95
20,-3.06,-3.45,8.02
30,-3.24,-3.46,8.3
40,-3.45,-3.42,8.58
50,-3.72,-3.42,8.74
60,-3.92,-3.43,8.95
70,-4.03,-3.43,9.22
80,-3.99,-3.43,9.58
90,-3.67,-3.31,9.99
100,-3.22,-3.29,10.23
110,-2.72,-3.42,10.17
120,-2.21,-3.48,9.94
130,-1.85,-3.63,9.61
140,-1.39,-3.74,9.3
150,-0.95,-3.91,8.96
160,-0.38,-4.16,8.74
170,0.57,-4.31,8.7
180,2.17,-4.58,8.66
190,4.36,-4.71,8.46
200,7.26,-4.38,7.82
210,9.48,-3.78,6.36
220,15.06,-3.64,4.25
230,18.0,-2.26,2.38
240,18.89,-0.87,1.54
250,17.69,2.09,1.38
260,14.34,5.86,1.48
270,9.89,8.93,0.94
280,4.28,11.74,-0.06
290,-1.18,13.39,-1.4
300,-5.35,13.95,-2.49
310,-7.5,14.09,-2.47
320,-8.92,14.81,-1.5
330,-11.15,15.49,3.15
340,-12.01,15.74,4.47
350,-13.73,16.47,6.84
360,-15.93,18.17,10.34
370,-17.05,19.28,13.31
380,-18.39,19.07,17.34
390,-18.73,18.37,19.34
400,-19.21,17.06,20.27
410,-19.23,15.67,20.18
420,-18.1,15.25,18.99
430,-16.32,14.77,16.93
440,-13.47,14.44,13.93
450,-8.53,13.87,10.56
460,-3.09,13.15,7.63
470,0.19,12.08,5.97
480,2.34,11.69,6.02
490,1.69,11.28,8.06
500,0.02,10.95,11.11
510,-0.85,10.96,13.83
520,-1.52,11.24,15.77
530,-1.59,11.54,17.16
540,-1.54,12.06,18.5
550,-1.27,12.29,19.03
560,-0.76,12.65,19.08
570,-0.15,13.13,18.54
580,0.8,13.72,17.43
590,2.28,14.14,16.29
600,3.91,14.35,15.37
610,5.88,14.07,14.58
620,7.42,13.82,14.46
630,9.9,12.8,14.68
640,11.59,11.36,14.46
650,14.46,9.17,13.73
660,15.45,7.6,12.42
670,15.09,5.88,10.92
680,14.35,4.28,8.74
690,13.22,3.6,6.09
700,11.64,3.03,3.47
710,9.26,2.76,1.0
720,6.32,2.71,-0.78
730,3.72,2.48,-1.62
740,0.87,2.34,-2.31
750,-1.51,1.77,-3.47
760,-3.13,0.91,-4.9
770,-4.3,0.36,-5.44
780,-5.56,0.07,-5.96
790,-6.86,0.05,-6.34
800,-7.65,-0.4,-7.07
810,-8.37,-0.68,-7.91
820,-8.89,-0.83,-8.32
830,-9.55,-1.16,-8.11
840,-9.65,-1.35,-6.58
850,-8.83,-0.89,-4.23
860,-7.67,-0.28,-2.36
870,-7.49,0.82,2.16
880,-7.6,1.63,5.15
890,-8.66,2.01,8.5
900,-9.98,3.07,11.72
910,-11.54,3.02,14.11
920,-12.69,2.64,15.61
930,-13.05,2.21,16.4
940,-12.67,1.68,16.66
950,-11.69,1.22,16.58
960,-10.23,0.87,16.03
970,-8.62,0.6,15.2
980,-7.27,0.33,14.28
990,-6.34,0.04,13.2
1000,-5.83,-0.27,11.96
