timestamp,x,y,z
0,-2.99,-4.71,8.91
10,-2.82,-4.77,8.97
20,-2.4,-4.94,9.22
30,-1.86,-5.17,9.58
40,-1.4,-5.19,9.75
50,-1.01,-5.1,9.72
60,-0.5,-5.19,9.51
70,0.12,-5.31,9.23
80,0.83,-5.26,8.89
90,1.56,-5.21,8.48
100,2.55,-4.94,7.99
110,4.4,-4.3,7.26
120,6.99,-4.05,6.91
130,9.16,-4.65,7.61
140,11.8,-4.69,8.56
150,13.78,-4.2,8.75
160,14.5,-3.39,7.79
170,13.79,-2.12,5.63
180,12.85,-0.89,2.92
190,11.57,0.44,0.6
200,10.29,2.25,-1.0
210,8.02,3.1,-0.52
220,4.71,4.39,0.41
230,2.0,6.0,0.68
240,-0.34,6.99,0.45
250,-1.92,8.4,0.12
260,-2.92,9.39,0.29
270,-3.96,10.25,1.54
280,-5.17,11.07,2.87
290,-6.47,11.57,3.89
300,-8.27,12.06,5.0
310,-10.58,12.45,5.9
320,-12.94,12.75,6.57
330,-15.16,13.01,8.87
340,-16.64,12.72,14.33
350,-17.57,11.95,23.31
360,-18.17,9.93,32.12
370,-18.15,8.88,36.17
380,-14.69,10.04,29.51
390,-10.68,11.97,17.03
400,-11.34,10.83,7.56
410,-9.82,14.8,4.47
420,-2.49,17.19,-1.49
430,0.85,15.95,-0.63
440,1.37,15.57,5.66
450,0.83,15.07,11.92
460,0.74,14.89,16.29
470,1.47,14.63,19.07
480,2.5,14.39,20.98
490,3.45,14.71,23.53
500,3.95,14.83,25.15
510,3.34,14.48,24.77
520,0.87,13.7,21.47
530,-1.22,13.77,16.11
540,-1.87,14.22,10.46
550,-0.98,14.33,6.95
560,2.69,13.72,6.85
570,5.84,12.9,9.36
580,7.96,11.78,11.52
590,9.53,10.95,13.55
600,11.05,10.46,15.03
610,11.68,10.19,15.44
620,11.44,9.88,13.74
630,11.15,9.7,10.49
640,11.04,8.83,6.49
650,10.58,6.84,2.47
660,10.86,4.39,0.03
670,11.63,2.0,-0.69
680,12.22,0.55,-0.04
690,12.21,-0.26,0.74
700,11.77,-0.39,0.75
710,10.53,-0.32,0.25
720,8.38,-0.12,-0.97
730,6.19,0.51,-1.62
740,3.81,0.9,-1.92
750,1.42,1.12,-2.11
760,-0.88,1.52,-2.3
770,-2.67,1.75,-2.24
780,-4.36,1.82,-1.73
790,-6.75,1.97,-0.25
800,-8.62,1.63,2.04
810,-10.22,1.39,4.58
820,-11.58,0.8,6.65
830,-12.6,-0.2,8.49
840,-13.48,-0.96,9.98
850,-14.01,-1.5,11.36
860,-14.25,-1.87,12.39
870,-14.74,-1.96,12.97
880,-14.52,-1.92,12.65
890,-13.37,-2.04,11.15
900,-11.44,-1.87,9.59
910,-9.36,-1.83,8.8
920,-6.96,-1.89,8.38
930,-4.9,-1.95,8.36
940,-3.63,-2.12,8.64
950,-3.04,-2.41,9.13
960,-3.0,-2.74,9.76
970,-3.25,-3.06,10.28
980,-3.49,-3.26,10.68
990,-3.68,-3.33,10.7
1000,-3.59,-3.35,10.32
