timestamp,x,y,z
0,-1.98,-5.2,7.42
10,-1.37,-5.13,7.56
20,-0.68,-5.02,7.68
30,0.07,-4.94,7.8
40,0.72,-4.77,8.16
50,1.47,-4.56,8.95
60,2.43,-4.58,10.07
70,3.48,-4.7,11.41
80,4.44,-4.73,13.0
90,5.14,-4.72,14.59
100,5.27,-4.68,15.62
110,5.18,-4.48,15.45
120,5.32,-4.17,14.18
130,5.67,-4.19,12.47
140,6.28,-4.21,11.05
150,6.45,-4.2,8.96
160,6.97,-4.03,6.81
170,7.85,-3.87,4.89
180,9.17,-3.73,2.96
190,10.81,-3.8,0.85
200,12.22,-3.67,-2.45
210,13.69,-2.58,-6.69
220,13.55,-1.06,-11.15
230,11.6,0.48,-13.4
240,8.55,2.35,-12.83
250,4.84,4.58,-10.12
260,3.27,6.88,-7.24
270,2.54,8.87,-3.47
280,1.4,10.96,0.96
290,-1.22,12.45,5.27
300,-5.29,13.35,8.2
310,-8.95,13.41,10.77
320,-11.88,13.32,12.65
330,-12.89,13.27,13.35
340,-12.6,13.34,13.61
350,-12.2,13.59,15.14
360,-10.13,12.85,19.35
370,-8.0,11.69,24.49
380,-8.06,10.71,27.37
390,-8.19,10.37,25.57
400,-8.38,10.49,21.35
410,-7.69,10.58,18.82
420,-6.08,10.84,17.37
430,-4.75,10.75,15.8
440,-3.82,10.59,14.54
450,-2.78,10.68,14.46
460,-1.62,11.01,15.38
470,-1.01,11.48,16.74
480,0.28,11.57,18.66
490,1.54,11.62,21.3
500,2.91,12.09,23.33
510,3.55,12.91,24.0
520,4.92,13.98,21.98
530,6.22,14.97,18.04
540,7.62,15.8,15.12
550,9.85,16.1,14.94
560,10.95,16.23,16.7
570,10.84,16.62,18.13
580,11.51,17.17,19.17
590,12.24,17.62,18.99
600,12.79,18.2,16.97
610,12.76,18.4,12.25
620,12.52,17.89,6.47
630,11.86,15.82,1.26
640,11.56,12.63,-3.28
650,12.88,8.63,-6.01
660,14.73,4.7,-6.46
670,15.46,2.31,-5.56
680,13.7,1.55,-4.65
690,10.08,1.26,-4.23
700,6.14,1.07,-5.78
710,2.58,0.88,-7.7
720,-0.16,0.65,-8.7
730,-1.45,0.94,-8.17
740,-1.84,1.03,-6.63
750,-2.09,1.15,-4.12
760,-3.31,1.43,-1.42
770,-5.62,1.42,1.46
780,-8.0,1.16,4.49
790,-9.75,0.76,7.78
800,-10.47,-0.11,11.06
810,-10.5,-1.4,14.6
820,-11.47,-2.47,17.14
830,-12.85,-2.87,18.88
840,-13.63,-2.89,19.66
850,-13.66,-2.95,19.43
860,-12.05,-3.06,17.18
870,-9.94,-2.7,14.68
880,-7.49,-2.63,12.71
890,-4.95,-2.79,11.54
900,-2.49,-2.84,10.67
910,-0.6,-3.06,10.26
920,0.72,-3.43,9.92
930,1.34,-3.78,9.71
940,1.67,-4.06,9.43
950,1.95,-4.22,9.24
960,2.19,-4.32,8.95
970,2.43,-4.29,8.6
980,2.95,-4.25,8.26
990,3.53,-4.26,8.06
1000,3.74,-4.25,7.91
