timestamp,x,y,z
0,1.46,-3.33,9.08
10,1.1,-3.36,9.49
20,0.74,-3.34,9.72
30,0.46,-3.34,9.79
40,0.41,-3.37,9.78
50,0.62,-3.43,9.84
60,1.04,-3.42,9.97
70,1.67,-3.42,10.09
80,2.43,-3.46,10.28
90,3.3,-3.74,11.03
100,3.97,-3.98,12.15
110,4.6,-4.14,13.13
120,5.12,-4.13,13.58
130,5.32,-3.92,13.36
140,5.19,-3.7,12.24
150,4.97,-3.68,10.59
160,5.0,-3.65,8.69
170,5.68,-3.7,6.98
180,6.78,-3.56,5.4
190,8.27,-3.46,3.75
200,9.9,-3.18,1.64
210,11.61,-3.0,-1.15
220,13.35,-2.85,-3.62
230,13.79,-2.27,-6.7
240,12.61,-0.81,-8.33
250,9.2,1.26,-8.61
260,4.91,3.22,-7.02
270,1.01,5.39,-5.16
280,-2.66,7.71,-3.17
290,-4.27,9.95,-1.51
300,-4.65,11.15,1.22
310,-4.4,11.58,6.25
320,-5.22,11.14,13.02
330,-7.43,10.91,18.36
340,-9.61,10.55,20.03
350,-9.61,10.23,18.05
360,-9.06,9.9,16.18
370,-9.02,10.62,13.36
380,-9.2,11.2,11.33
390,-8.26,11.37,12.32
400,-7.45,11.46,15.82
410,-7.09,11.01,18.9
420,-5.55,11.82,21.37
430,-4.7,11.31,22.43
440,-1.83,11.51,23.3
450,0.25,11.84,23.72
460,1.04,12.34,22.82
470,1.8,13.27,18.46
480,2.75,13.61,13.56
490,4.5,13.09,11.33
500,5.71,12.61,11.01
510,6.6,12.11,12.02
520,7.01,11.7,13.89
530,8.07,11.73,15.66
540,9.61,12.0,17.29
550,11.13,12.54,18.55
560,11.03,13.25,19.02
570,12.14,14.9,18.24
580,13.47,15.89,16.79
590,15.2,16.41,15.83
600,15.62,16.66,14.67
610,14.77,17.07,12.88
620,14.58,16.7,10.39
630,15.05,15.57,6.87
640,14.94,13.56,2.62
650,13.53,10.73,-1.07
660,11.47,7.84,-3.68
670,9.94,4.77,-5.59
680,9.44,1.99,-6.67
690,9.65,0.27,-6.82
700,9.68,-0.65,-6.28
710,9.01,-0.91,-5.98
720,7.97,-0.76,-5.8
730,6.51,-0.49,-6.42
740,4.0,-0.22,-7.58
750,2.17,0.82,-8.95
760,-0.51,1.96,-9.42
770,-2.65,3.23,-8.31
780,-4.35,4.27,-5.79
790,-5.6,4.87,-2.2
800,-6.12,5.35,1.92
810,-5.9,5.05,6.35
820,-5.04,4.07,10.88
830,-5.75,3.3,16.25
840,-8.35,2.39,21.21
850,-11.02,1.54,23.59
860,-13.33,1.05,23.6
870,-14.53,0.76,22.21
880,-13.9,0.64,20.53
890,-11.59,0.62,19.11
900,-8.59,0.58,17.89
910,-5.85,0.47,16.73
920,-3.51,0.43,15.68
930,-1.28,0.19,14.43
940,0.47,0.1,13.65
950,2.28,-0.33,11.68
960,3.2,-0.78,10.36
970,3.36,-1.18,9.4
980,3.0,-1.5,9.03
990,2.34,-1.79,9.07
1000,1.58,-2.06,9.19
