timestamp,x,y,z
0,-1.87,-5.4,8.66
10,-1.71,-5.46,9.17
20,-1.69,-5.69,9.93
30,-1.68,-5.98,11.03
40,-1.59,-6.09,12.25
50,-1.26,-5.78,13.19
60,-0.74,-5.23,13.18
70,-0.05,-4.83,12.35
80,0.87,-4.88,10.79
90,1.99,-5.11,9.07
100,3.26,-5.24,7.49
110,4.58,-5.55,6.0
120,5.95,-6.06,4.77
130,7.66,-6.44,3.39
140,8.89,-6.68,2.11
150,9.7,-6.45,0.99
160,10.39,-5.19,0.3
170,11.17,-4.11,-1.93
180,10.39,-3.64,-5.28
190,8.3,-3.27,-8.43
200,5.47,-1.9,-9.06
210,2.99,0.24,-7.27
220,1.0,2.39,-4.65
230,-1.22,5.12,-2.8
240,-3.74,6.22,-2.29
250,-5.82,7.38,-2.3
260,-7.09,8.34,-2.51
270,-7.66,10.29,-2.02
280,-9.03,12.75,2.04
290,-9.96,14.37,7.96
300,-12.36,15.41,13.19
310,-15.71,14.88,17.08
320,-17.72,16.19,20.59
330,-18.17,15.57,24.51
340,-15.19,14.17,28.17
350,-11.34,12.76,28.59
360,-9.64,12.15,25.17
370,-10.01,12.33,19.35
380,-10.4,12.76,14.48
390,-8.44,13.23,11.96
400,-5.53,14.18,12.07
410,-2.5,14.67,15.88
420,0.42,14.66,22.87
430,1.45,15.46,31.07
440,1.33,16.32,36.36
450,1.98,17.74,36.23
460,2.61,19.35,30.89
470,4.15,20.07,22.16
480,6.1,19.79,13.98
490,7.71,18.72,8.24
500,9.73,16.19,4.24
510,15.21,13.4,3.45
520,19.03,10.51,5.41
530,21.74,7.94,9.19
540,21.55,6.42,11.89
550,19.7,5.56,11.8
560,17.02,4.6,9.29
570,14.55,4.13,6.58
580,13.21,3.46,3.74
590,12.27,2.25,1.24
600,11.51,1.45,-1.44
610,10.43,0.13,-4.78
620,9.24,0.07,-6.0
630,7.99,-0.01,-6.05
640,7.05,0.31,-4.75
650,5.78,1.22,-2.58
660,4.18,2.33,-0.67
670,2.28,3.26,0.49
680,0.37,4.03,1.12
690,-1.76,4.74,0.78
700,-3.88,4.85,-0.02
710,-5.9,5.02,-0.39
720,-7.38,5.43,-0.27
730,-8.35,5.2,-0.16
740,-11.24,4.52,0.64
750,-11.47,4.94,2.59
760,-12.18,4.6,4.15
770,-13.41,4.3,5.66
780,-14.93,4.0,7.09
790,-16.15,4.08,8.15
800,-16.91,4.43,9.45
810,-17.39,4.74,11.01
820,-17.79,4.62,12.03
830,-18.7,4.46,14.15
840,-18.16,3.93,14.84
850,-16.53,3.04,14.63
860,-13.86,2.49,13.98
870,-10.76,2.09,13.15
880,-7.75,1.36,12.46
890,-4.71,1.01,11.94
900,-2.42,0.37,11.31
910,-1.21,-0.19,10.66
920,-0.95,-0.56,10.28
930,-1.17,-0.78,9.99
940,-1.48,-0.92,9.7
950,-1.8,-1.08,9.39
960,-1.94,-1.23,9.15
970,-1.99,-1.31,9.05
980,-1.93,-1.49,9.05
990,-1.74,-1.6,9.17
1000,-1.5,-1.68,9.36
