timestamp,x,y,z
0,-2.91,-4.75,8.34
10,-3.29,-4.59,7.91
20,-3.11,-4.69,7.53
30,-2.46,-4.8,7.49
40,-1.91,-4.74,7.68
50,-1.88,-4.74,8.09
60,-1.62,-4.76,8.62
70,-0.59,-4.62,9.23
80,1.15,-4.66,9.39
90,3.25,-4.71,9.28
100,5.27,-4.81,9.12
110,7.04,-4.85,8.94
120,8.5,-4.75,8.74
130,9.57,-4.76,8.52
140,10.23,-4.92,8.42
150,10.69,-5.1,8.45
160,11.04,-5.1,8.26
170,11.44,-5.02,7.93
180,11.84,-4.81,7.41
190,12.51,-4.6,6.69
200,13.18,-4.5,5.6
210,13.6,-4.18,4.3
220,13.58,-3.79,2.93
230,13.14,-3.34,1.18
240,12.59,-2.78,-0.39
250,11.43,-2.1,-1.44
260,9.95,-1.05,-2.8
270,8.61,-0.07,-4.49
280,7.16,1.8,-5.67
290,5.64,3.26,-5.87
300,3.97,5.11,-4.64
310,2.37,7.03,-3.08
320,0.06,9.01,-2.12
330,-3.15,10.05,-2.35
340,-6.51,10.85,-0.89
350,-8.63,11.72,2.12
360,-9.7,12.52,5.49
370,-10.9,13.12,7.64
380,-12.38,13.51,8.61
390,-13.08,13.28,10.13
400,-14.0,12.74,13.97
410,-16.1,11.44,20.03
420,-18.95,10.08,27.06
430,-21.45,9.63,31.46
440,-20.59,9.28,30.38
450,-16.73,10.14,24.71
460,-15.53,11.22,17.59
470,-13.98,12.48,11.41
480,-10.71,13.88,8.2
490,-5.66,14.67,8.09
500,-1.7,13.72,8.82
510,-0.45,12.58,9.59
520,-1.5,11.11,9.87
530,-3.61,9.78,9.83
540,-6.01,8.92,10.25
550,-7.14,8.73,12.72
560,-4.81,9.02,16.15
570,-2.2,9.73,18.06
580,0.98,10.47,20.2
590,5.06,10.81,23.11
600,8.01,11.39,26.35
610,9.56,13.84,26.77
620,10.14,15.37,24.03
630,10.26,16.18,19.32
640,10.32,17.21,15.52
650,11.28,16.48,12.88
660,11.9,14.98,11.53
670,12.72,13.41,10.69
680,13.19,11.83,9.67
690,12.17,10.27,7.68
700,10.35,8.28,5.06
710,8.51,6.09,2.62
720,7.52,3.91,0.62
730,7.04,2.17,-0.8
740,6.97,0.59,-1.87
750,6.7,-0.43,-2.56
760,5.45,-1.26,-3.14
770,3.68,-1.82,-4.34
780,1.53,-2.25,-5.65
790,-0.61,-2.49,-6.79
800,-2.09,-2.83,-7.13
810,-2.74,-2.94,-6.86
820,-2.65,-3.21,-5.72
830,-2.05,-3.25,-3.67
840,-1.64,-2.99,-1.14
850,-1.92,-2.91,1.25
860,-3.04,-2.91,3.44
870,-4.6,-3.01,5.48
880,-6.05,-3.01,7.18
890,-7.39,-2.96,8.67
900,-8.64,-3.28,10.43
910,-9.41,-3.83,12.86
920,-9.36,-4.21,15.19
930,-8.79,-4.48,16.7
940,-7.75,-4.68,16.68
950,-6.21,-4.58,14.79
960,-4.75,-4.6,12.34
970,-3.47,-4.88,10.45
980,-2.51,-5.17,9.29
990,-1.87,-5.34,8.62
1000,-1.7,-5.45,8.58
