timestamp,x,y,z
0,2.39,-0.46,9.15
10,2.18,0.06,9.16
20,1.87,1.07,9.08
30,2.21,2.09,8.85
40,2.45,3.67,9.0
50,2.69,5.62,9.62
60,2.71,3.49,10.42
70,2.51,1.22,11.31
80,2.23,1.56,12.03
90,1.9,2.14,12.71
100,1.52,2.67,13.09
110,1.23,3.57,13.25
120,1.38,3.83,13.76
130,0.96,4.17,14.9
140,0.58,4.48,15.9
150,0.58,4.82,16.72
160,0.98,5.35,16.87
170,1.66,5.81,16.83
180,2.4,5.94,16.83
190,3.31,5.8,16.87
200,4.37,5.29,16.72
210,5.35,4.86,16.29
220,6.29,4.73,15.51
230,7.25,4.59,14.43
240,8.08,4.56,13.04
250,8.86,4.61,11.37
260,9.2,5.14,9.5
270,10.76,5.82,7.26
280,10.56,6.3,5.35
290,10.1,6.51,3.15
300,9.96,6.45,1.69
310,10.02,4.78,0.02
320,8.78,4.33,-1.31
330,7.12,5.05,-3.41
340,6.12,6.52,-6.58
350,3.52,8.33,-5.11
360,0.66,9.97,-6.32
370,-2.82,11.78,-6.39
380,-4.95,13.68,-5.09
390,-6.45,16.65,-3.86
400,-10.36,18.8,4.88
410,-12.53,18.6,6.35
420,-13.17,18.98,8.88
430,-14.43,19.73,11.88
440,-15.21,19.41,14.91
450,-14.49,18.97,16.88
460,-12.6,17.97,17.75
470,-11.14,17.68,17.04
480,-10.94,19.35,16.76
490,-8.16,22.48,15.38
500,-6.36,23.49,15.18
510,-4.74,24.08,15.55
520,-4.42,23.65,16.75
530,-3.82,23.08,17.7
540,-3.29,22.62,18.48
550,-2.91,22.27,18.94
560,-2.36,22.37,18.88
570,-1.76,22.98,17.8
580,-1.06,23.96,16.28
590,0.18,24.35,15.0
600,1.27,23.95,14.32
610,2.44,23.65,14.46
620,3.77,24.1,15.59
630,5.21,24.48,16.6
640,6.42,23.58,18.22
650,7.29,21.22,20.06
660,8.03,19.54,20.92
670,8.79,18.22,21.77
680,10.91,16.75,21.76
690,11.35,16.53,19.97
700,14.08,17.06,16.87
710,13.56,18.03,12.96
720,12.52,19.74,7.74
730,9.6,22.57,2.07
740,6.68,24.98,-2.63
750,3.73,25.26,-6.81
760,4.43,25.8,-9.6
770,5.9,27.07,-5.28
780,4.12,28.86,-2.75
790,-1.02,30.28,2.78
800,-9.72,28.86,3.63
810,-15.26,25.3,6.37
820,-16.36,23.7,7.75
830,-16.66,22.63,8.75
840,-19.06,21.5,11.94
850,-20.81,19.51,14.14
860,-20.78,17.85,14.74
870,-21.67,16.45,16.89
880,-20.32,15.24,16.58
890,-18.77,15.46,15.67
900,-17.03,15.59,14.65
910,-14.94,15.41,13.62
920,-13.1,15.37,12.87
930,-11.37,15.67,12.15
940,-9.46,16.09,11.3
950,-7.75,16.24,10.48
960,-6.38,17.4,10.19
970,-4.11,15.78,8.69
980,-3.5,14.21,8.19
990,-2.15,13.12,7.96
1000,-1.08,11.63,7.61
