timestamp,x,y,z
0,-0.31,-4.81,9.25
10,-0.07,-4.89,9.52
20,0.14,-4.97,9.62
30,0.46,-5.0,9.47
40,0.79,-4.96,9.2
50,1.07,-4.99,8.93
60,1.28,-5.08,8.56
70,1.53,-5.38,8.29
80,2.04,-5.27,8.4
90,2.91,-5.16,8.56
100,4.25,-5.16,8.71
110,5.9,-4.82,8.38
120,7.6,-4.78,7.41
130,9.19,-4.96,6.65
140,10.56,-5.2,6.17
150,11.85,-5.29,5.98
160,12.61,-5.27,5.34
170,12.53,-4.95,3.96
180,12.03,-4.33,0.77
190,11.3,-2.96,-2.84
200,9.51,-1.77,-6.57
210,8.0,0.13,-9.19
220,7.04,2.87,-10.65
230,6.55,6.93,-11.17
240,5.79,10.7,-10.21
250,3.92,13.66,-6.69
260,0.66,15.83,-0.63
270,-3.21,16.9,6.79
280,-7.39,17.42,12.97
290,-10.28,17.57,15.71
300,-12.35,17.44,15.75
310,-14.62,16.88,17.78
320,-15.47,15.66,22.63
330,-14.17,13.7,29.01
340,-12.4,11.77,32.5
350,-11.01,10.41,32.16
360,-7.98,10.54,27.97
370,-5.39,11.08,22.62
380,-3.15,11.37,15.7
390,-2.23,11.36,9.86
400,-2.2,12.24,6.61
410,-1.02,12.4,5.52
420,-0.41,12.16,6.46
430,0.01,12.28,9.96
440,0.56,12.3,14.68
450,2.04,11.97,19.52
460,3.13,12.3,24.07
470,4.75,13.58,26.79
480,6.39,14.33,25.47
490,7.2,14.93,21.8
500,7.42,15.72,17.76
510,7.64,16.6,13.8
520,9.09,17.32,11.9
530,11.05,17.53,11.86
540,12.84,17.75,13.66
550,14.67,17.58,16.46
560,15.28,17.49,19.38
570,13.9,18.73,21.93
580,12.45,19.89,20.65
590,11.88,19.2,14.15
600,11.54,17.52,5.52
610,8.97,13.9,-2.5
620,5.17,9.5,-6.5
630,3.45,5.47,-6.53
640,4.8,2.41,-3.79
650,7.58,0.13,-1.21
660,9.88,-0.73,-0.29
670,10.4,-1.36,-1.84
680,8.51,-1.47,-4.24
690,5.08,-1.71,-6.4
700,1.98,-1.57,-7.35
710,-1.13,-1.58,-7.62
720,-4.0,-1.95,-8.03
730,-5.0,-2.64,-7.15
740,-5.23,-2.92,-4.89
750,-5.47,-2.87,-3.0
760,-4.92,-3.13,-1.99
770,-4.45,-3.11,-1.4
780,-3.85,-2.9,-0.66
790,-3.73,-2.43,1.04
800,-4.85,-1.82,3.29
810,-6.54,-1.87,6.1
820,-8.04,-2.14,8.83
830,-8.96,-1.84,11.26
840,-9.13,-2.3,13.89
850,-9.62,-2.72,16.54
860,-10.39,-3.11,18.05
870,-10.98,-3.27,17.68
880,-10.85,-3.49,15.81
890,-9.31,-3.28,13.73
900,-6.6,-3.07,12.14
910,-3.62,-3.21,11.17
920,-1.34,-3.42,10.71
930,0.13,-3.59,10.35
940,0.68,-3.87,10.22
950,0.48,-4.17,10.28
960,-0.2,-4.4,10.18
970,-0.82,-4.59,9.58
980,-1.11,-4.71,9.06
990,-1.07,-4.71,8.75
1000,-0.58,-4.73,8.5
