timestamp,x,y,z
0,2.79,-4.46,9.56
10,3.07,-4.19,9.96
20,3.42,-4.07,10.46
30,3.85,-4.02,10.93
40,4.45,-3.99,11.28
50,5.01,-3.93,11.48
60,5.34,-3.93,11.52
70,5.49,-3.89,11.3
80,5.46,-3.79,11.09
90,5.32,-3.68,10.87
100,5.13,-3.59,10.67
110,4.87,-3.51,10.4
120,4.79,-3.42,10.38
130,4.57,-3.25,10.31
140,4.35,-3.14,9.47
150,3.85,-2.88,8.32
160,2.95,-2.66,7.06
170,1.87,-2.51,5.69
180,0.76,-2.33,4.35
190,-0.31,-2.24,3.1
200,-1.23,-2.09,2.14
210,-1.87,-1.94,1.25
220,-2.66,-1.72,0.26
230,-4.9,-1.39,-0.68
240,-4.77,-1.67,-6.04
250,-4.97,-1.09,-7.95
260,-4.01,-0.63,-9.67
270,-1.9,0.04,-10.41
280,1.15,0.95,-9.76
290,4.67,2.22,-8.32
300,7.62,3.69,-6.4
310,9.82,5.66,-3.99
320,10.71,7.81,-2.12
330,10.25,10.83,2.71
340,7.32,11.94,6.89
350,6.96,13.26,9.61
360,5.68,13.56,13.13
370,4.52,13.68,16.26
380,3.48,13.27,19.38
390,2.74,13.0,21.86
400,2.21,12.37,23.82
410,1.95,11.26,25.61
420,1.9,10.34,26.76
430,2.08,9.42,27.1
440,2.44,8.58,26.71
450,11.42,7.99,35.6
460,-1.47,7.08,32.25
470,2.08,7.55,20.38
480,3.38,6.25,15.48
490,3.86,4.43,12.01
500,3.97,5.22,8.93
510,4.61,4.01,7.69
520,5.65,3.03,5.22
530,5.67,3.02,3.52
540,5.28,2.5,2.54
550,4.49,2.56,2.35
560,3.32,3.09,3.9
570,2.53,3.76,6.51
580,2.35,4.16,9.08
590,1.84,5.47,11.08
600,1.4,6.81,12.67
610,-0.21,7.42,16.86
620,-1.81,8.48,15.92
630,-1.76,9.58,16.55
640,-2.91,10.46,18.69
650,-3.61,11.14,21.09
660,-3.31,11.5,23.14
670,-2.53,11.77,24.31
680,-1.5,12.26,24.31
690,-0.55,13.02,23.23
700,0.53,13.83,21.28
710,1.88,14.75,19.31
720,3.34,15.47,17.88
730,4.91,15.97,17.12
740,6.71,15.98,16.68
750,7.9,15.78,15.98
760,8.72,15.62,15.0
770,9.52,15.13,13.78
780,10.2,14.31,12.59
790,10.59,13.41,11.48
800,10.72,12.57,10.34
810,10.59,11.75,9.15
820,10.22,10.98,7.84
830,9.76,10.2,6.24
840,9.48,8.95,2.5
850,7.3,8.53,0.43
860,5.99,7.02,-0.62
870,4.87,6.04,-2.31
880,4.52,4.05,-8.31
890,3.3,2.98,-9.49
900,2.37,0.92,-10.63
910,2.2,-0.68,-12.38
920,2.1,-2.05,-13.81
930,1.75,-3.44,-14.51
940,1.39,-4.65,-14.52
950,1.02,-5.65,-13.98
960,0.81,-6.5,-13.03
970,0.57,-7.05,-11.98
980,0.32,-7.42,-10.58
990,0.11,-7.63,-8.83
1000,-0.03,-7.71,-6.92
