timestamp,x,y,z
0,7.95,-3.52,11.52
10,7.43,-3.34,11.12
20,6.77,-3.38,10.46
30,5.71,-3.46,9.59
40,4.57,-3.34,8.59
50,3.76,-3.22,7.53
60,3.46,-3.37,6.49
70,3.19,-3.58,5.44
80,2.81,-3.81,4.51
90,2.2,-3.99,3.55
100,1.34,-4.07,2.51
110,0.4,-4.15,1.59
120,-0.52,-4.29,0.74
130,-1.22,-4.47,-0.05
140,-1.77,-4.65,-0.72
150,-2.12,-4.89,-1.4
160,-2.49,-5.2,-1.98
170,-2.86,-5.46,-2.46
180,-3.38,-5.59,-2.81
190,-4.21,-5.7,-3.13
200,-5.17,-5.76,-3.42
210,-6.24,-5.75,-3.64
220,-7.24,-5.61,-3.71
230,-7.97,-5.36,-3.82
240,-8.53,-5.0,-4.01
250,-8.36,-4.53,-4.24
260,-6.98,-3.75,-4.73
270,-7.63,-3.53,-5.26
280,-7.69,-2.62,-5.5
290,-7.02,-1.06,-5.74
300,-6.07,0.69,-5.33
310,-4.56,3.03,-4.54
320,-2.64,5.37,-2.86
330,-0.41,8.13,-1.75
340,1.52,10.88,-1.06
350,3.05,12.8,-0.12
360,3.86,14.09,1.94
370,4.43,15.12,5.62
380,4.8,16.3,10.34
390,5.15,17.12,15.94
400,5.06,16.78,21.02
410,5.69,15.52,25.94
420,7.24,14.68,29.79
430,9.48,13.6,31.87
440,11.58,12.23,32.66
450,12.29,10.46,31.83
460,11.07,8.91,28.66
470,8.73,7.68,24.35
480,6.59,6.66,19.96
490,4.98,5.67,16.21
500,3.72,4.68,13.64
510,3.82,3.99,11.46
520,3.85,3.42,9.94
530,3.71,3.03,9.33
540,3.39,2.91,9.67
550,2.91,2.94,10.41
560,2.44,2.96,11.36
570,2.32,3.12,12.18
580,2.26,3.42,12.92
590,2.11,3.65,13.69
600,2.13,3.99,14.38
610,2.29,4.69,15.19
620,2.58,4.67,15.85
630,1.76,5.09,15.93
640,1.6,5.69,16.66
650,1.28,6.04,17.65
660,0.54,6.22,18.9
670,0.46,6.28,20.24
680,0.46,6.63,21.33
690,0.58,7.13,22.76
700,1.11,8.18,24.1
710,2.1,9.37,24.63
720,3.73,10.57,23.2
730,4.73,11.19,19.59
740,5.28,12.09,14.74
750,6.23,12.17,9.56
760,7.5,11.88,5.35
770,8.73,10.93,2.04
780,9.55,9.2,-0.01
790,9.95,7.26,-1.38
800,9.65,5.33,-2.41
810,8.91,3.59,-2.96
820,8.26,2.26,-3.31
830,7.52,1.21,-3.46
840,6.53,-0.74,-3.51
850,4.85,-2.24,-2.87
860,3.83,-2.78,-3.35
870,2.71,-3.37,-3.82
880,2.52,-3.99,-4.09
890,2.24,-4.77,-4.69
900,1.86,-5.57,-5.16
910,1.0,-6.3,-5.11
920,-0.15,-6.72,-4.47
930,-0.88,-6.83,-3.51
940,-0.65,-6.76,-2.6
950,0.63,-6.71,-2.04
960,2.29,-6.81,-1.5
970,3.69,-6.97,-0.61
980,4.52,-7.01,0.5
990,4.74,-6.92,1.75
1000,4.61,-6.8,3.03
