timestamp,x,y,z
0,2.26,-6.93,6.45
10,2.71,-6.96,6.64
20,3.09,-6.96,6.64
30,3.34,-6.94,6.42
40,3.48,-6.93,6.14
50,3.54,-6.85,5.83
60,3.61,-6.75,5.59
70,3.64,-6.76,5.44
80,3.53,-6.77,5.21
90,3.25,-6.68,4.96
100,2.84,-6.56,4.55
110,2.26,-6.43,4.04
120,1.58,-6.3,3.37
130,0.85,-6.07,2.6
140,0.15,-5.67,1.9
150,-1.06,-5.73,0.36
160,-2.24,-4.54,-2.26
170,-3.33,-4.44,-4.79
180,-3.83,-3.16,-7.53
190,-4.55,-2.69,-8.28
200,-5.03,-2.01,-10.07
210,-4.88,-0.58,-10.42
220,-3.97,0.04,-10.37
230,-3.5,0.71,-11.73
240,-3.03,2.31,-11.43
250,-3.0,4.27,-10.56
260,-3.6,6.35,-8.62
270,-4.22,8.91,-6.19
280,-4.16,11.71,-3.5
290,-2.9,14.66,-1.56
300,-1.22,17.72,0.17
310,1.42,20.55,5.42
320,3.54,21.08,5.86
330,3.89,22.67,7.38
340,4.23,25.41,9.59
350,5.38,29.5,12.66
360,6.89,33.32,16.14
370,8.85,33.83,19.5
380,10.69,32.23,21.6
390,12.38,29.36,22.83
400,13.56,26.19,23.2
410,14.37,23.17,22.79
420,14.89,21.32,21.52
430,14.82,21.01,19.63
440,14.43,20.99,17.78
450,14.11,20.61,16.24
460,13.92,18.99,15.38
470,14.31,17.92,14.56
480,11.59,16.41,14.78
490,10.31,16.04,14.48
500,9.61,15.35,13.62
510,7.67,15.01,13.39
520,6.33,14.52,13.19
530,4.67,14.15,13.15
540,3.06,13.74,13.14
550,1.94,13.15,13.21
560,1.61,12.54,13.32
570,1.02,12.23,13.12
580,0.43,12.13,12.63
590,0.1,11.89,11.74
600,-0.2,11.67,10.81
610,-0.22,11.47,10.15
620,0.1,11.46,9.94
630,0.85,11.71,10.29
640,1.86,11.7,10.87
650,2.91,11.81,11.32
660,3.81,12.38,11.42
670,4.55,13.16,11.06
680,4.7,14.51,10.3
690,4.92,15.6,9.6
700,5.74,16.21,9.33
710,6.85,16.72,9.43
720,8.03,16.91,9.66
730,9.15,16.25,9.75
740,9.98,15.37,9.52
750,10.5,14.7,8.83
760,10.73,14.02,7.66
770,10.46,13.61,6.27
780,9.92,13.75,4.82
790,9.57,13.96,3.08
800,9.22,13.29,1.62
810,8.8,12.08,0.65
820,8.44,11.03,0.01
830,7.85,10.48,-0.39
840,6.99,9.95,-0.87
850,5.88,9.32,-1.44
860,5.15,8.35,-1.68
870,-4.5,7.28,-4.15
880,-7.26,6.29,-6.0
890,-10.25,3.27,-6.72
900,-10.36,1.28,-7.92
910,-7.42,-0.08,-9.13
920,-3.23,-1.35,-9.7
930,0.94,-2.25,-9.9
940,4.1,-2.89,-9.71
950,5.73,-3.39,-9.11
960,5.87,-4.47,-8.22
970,5.26,-5.29,-7.36
980,4.57,-5.25,-6.17
990,4.15,-4.65,-4.67
1000,4.05,-4.52,-3.19
