timestamp,x,y,z
0,2.65,-1.54,9.67
10,2.54,-1.44,9.47
20,2.38,-1.26,9.31
30,2.33,-1.17,9.35
40,2.39,-1.07,9.48
50,2.55,-1.07,9.66
60,2.73,-1.12,9.85
70,2.87,-1.14,9.98
80,2.99,-1.25,9.99
90,3.01,-1.39,9.84
100,2.95,-1.54,9.55
110,2.81,-1.71,9.11
120,2.58,-1.82,8.66
130,2.31,-1.91,8.13
140,1.94,-2.0,7.52
150,1.59,-1.95,6.9
160,1.32,-2.11,6.23
170,0.83,-2.21,5.44
180,0.35,-2.31,4.66
190,-0.12,-2.47,3.83
200,-0.73,-2.76,3.06
210,-1.55,-2.85,2.21
220,-2.51,-2.85,1.26
230,-3.38,-2.62,0.32
240,-4.02,-2.15,-0.37
250,-4.41,-1.46,-1.32
260,-4.64,-0.59,-2.35
270,-4.13,0.37,-4.06
280,-2.95,1.76,-4.96
290,-1.2,3.03,-4.56
300,0.74,4.25,-3.78
310,2.34,5.16,-2.29
320,3.72,6.11,-0.69
330,4.36,7.74,3.26
340,4.78,7.96,5.47
350,4.91,8.56,6.97
360,4.84,9.01,8.8
370,5.02,9.3,10.16
380,5.24,9.55,10.97
390,5.26,9.88,11.5
400,5.18,10.15,11.77
410,5.06,10.32,12.23
420,4.74,11.07,12.7
430,4.55,11.9,13.35
440,4.39,12.36,14.01
450,4.36,12.46,14.54
460,4.46,12.63,14.72
470,4.72,12.61,14.78
480,4.9,12.69,14.71
490,4.97,12.93,14.59
500,4.88,12.87,14.49
510,5.06,13.51,14.11
520,4.41,13.63,14.4
530,3.97,13.58,15.47
540,3.75,13.25,15.78
550,3.41,13.09,15.56
560,3.38,12.69,15.14
570,2.9,12.25,15.09
580,2.53,11.97,14.97
590,2.23,11.56,14.82
600,1.87,11.28,14.48
610,1.24,11.13,14.0
620,0.53,11.04,13.19
630,-0.13,11.05,12.3
640,-0.76,11.23,11.49
650,-1.31,11.4,11.04
660,-1.52,11.56,10.97
670,-1.46,11.73,11.42
680,-1.15,11.74,12.18
690,-0.72,11.78,12.92
700,-0.09,11.82,13.37
710,0.56,12.0,13.3
720,1.04,12.26,12.85
730,1.6,12.42,12.29
740,2.2,12.61,11.69
750,2.86,12.8,11.12
760,3.46,13.27,10.6
770,4.12,13.68,10.29
780,4.95,13.45,10.22
790,5.41,12.96,10.04
800,6.49,12.58,9.44
810,7.16,12.03,8.58
820,7.5,11.35,7.3
830,7.65,10.87,5.77
840,7.85,10.2,4.16
850,8.14,9.41,2.61
860,8.26,8.22,1.27
870,8.21,7.09,0.01
880,7.98,5.82,-0.74
890,7.92,4.54,-1.47
900,7.62,3.22,-1.86
910,7.07,2.24,-2.02
920,6.36,1.41,-2.15
930,5.6,0.54,-2.28
940,4.95,-0.14,-2.45
950,4.32,-0.69,-2.76
960,3.74,-1.27,-2.94
970,3.55,-1.88,-3.34
980,3.66,-2.5,-3.85
990,3.73,-3.17,-3.91
1000,3.82,-3.8,-3.74
