timestamp,x,y,z
0,8.18,-3.04,7.12
10,8.52,-3.23,7.68
20,8.55,-3.37,8.06
30,8.03,-3.58,8.2
40,7.18,-3.63,8.25
50,6.58,-3.56,8.2
60,6.36,-3.67,8.14
70,6.5,-3.79,8.0
80,6.69,-3.83,7.86
90,6.75,-3.9,7.87
100,6.76,-4.06,7.9
110,6.72,-4.19,7.87
120,6.32,-4.27,7.64
130,5.69,-4.3,7.29
140,5.12,-4.21,6.81
150,4.83,-4.15,6.21
160,4.66,-4.12,5.41
170,4.25,-4.08,4.4
180,3.59,-4.25,3.56
190,2.62,-4.41,2.95
200,1.35,-4.42,2.46
210,-0.13,-4.13,1.94
220,-2.25,-3.51,1.01
230,-4.61,-2.11,-1.1
240,-7.0,-0.16,-4.13
250,-8.45,1.27,-9.2
260,-8.29,2.2,-20.94
270,-6.89,1.79,-27.88
280,-4.13,1.84,-29.48
290,-3.21,4.65,-24.98
300,-5.14,8.35,-17.82
310,-8.28,12.52,-11.31
320,-10.39,17.5,-6.22
330,-9.43,22.05,1.55
340,-5.59,25.27,7.41
350,0.09,26.85,11.65
360,5.62,26.05,15.66
370,10.16,24.02,19.53
380,13.79,21.79,22.68
390,17.19,20.18,24.91
400,16.94,18.26,25.79
410,14.38,17.03,25.8
420,10.71,15.94,24.63
430,7.63,14.97,22.56
440,5.49,13.74,19.69
450,4.29,13.17,16.76
460,3.7,12.93,14.09
470,3.71,12.9,11.86
480,4.56,12.79,10.6
490,5.94,13.13,10.48
500,8.11,13.42,11.32
510,10.7,13.03,13.27
520,12.49,11.57,13.23
530,12.42,10.36,12.03
540,10.31,10.09,10.87
550,7.0,10.13,10.15
560,4.11,9.94,10.69
570,2.42,9.52,11.66
580,0.8,9.04,12.09
590,0.63,9.11,12.79
600,0.7,9.19,13.22
610,0.33,9.66,13.3
620,-0.4,10.13,13.5
630,-0.44,10.35,13.55
640,-0.06,10.33,13.61
650,1.02,10.3,13.62
660,2.41,10.28,13.34
670,3.09,10.4,13.04
680,3.79,10.79,13.4
690,5.57,11.57,14.86
700,7.16,12.4,15.6
710,8.51,12.49,16.01
720,8.18,12.55,15.71
730,7.31,13.34,14.45
740,6.07,13.59,13.16
750,5.23,13.41,12.04
760,5.29,13.37,11.26
770,5.83,13.18,10.42
780,6.58,13.07,9.63
790,7.34,12.32,9.06
800,7.91,11.24,8.56
810,7.83,10.64,7.89
820,7.2,10.19,7.2
830,6.04,9.49,6.15
840,4.69,9.08,4.79
850,3.76,8.66,2.92
860,3.57,7.43,1.47
870,4.42,5.95,1.09
880,5.77,4.67,1.9
890,6.35,3.73,2.93
900,6.17,3.25,3.38
910,5.28,2.82,3.32
920,4.34,2.43,2.87
930,3.6,1.96,2.22
940,2.99,1.38,1.76
950,2.47,0.73,0.98
960,1.99,0.03,-0.06
970,1.78,-0.74,-1.16
980,1.67,-1.58,-2.01
990,1.43,-2.4,-2.32
1000,1.66,-3.14,-1.88
