timestamp,x,y,z
0,5.6,-3.56,8.72
10,5.58,-3.51,9.57
20,5.23,-3.54,10.18
30,4.54,-3.69,10.17
40,3.53,-3.84,9.61
50,2.49,-4.0,8.52
60,1.61,-4.09,7.26
70,1.16,-4.14,6.01
80,1.05,-4.18,4.91
90,1.2,-4.26,4.11
100,1.42,-4.35,3.56
110,1.43,-4.51,3.23
120,1.44,-4.55,2.99
130,1.33,-4.49,2.66
140,0.64,-4.43,2.06
150,-0.57,-4.18,1.25
160,-1.91,-3.75,0.32
170,-3.44,-3.35,-0.42
180,-5.03,-3.12,-1.59
190,-6.94,-2.93,-2.73
200,-8.29,-2.26,-3.65
210,-9.26,-1.37,-4.3
220,-9.3,-0.2,-3.75
230,-7.9,1.28,-3.2
240,-5.77,2.67,-2.59
250,-4.02,3.81,-2.11
260,-2.89,5.0,-1.8
270,-1.81,6.28,-1.33
280,-0.46,7.5,-0.65
290,1.03,8.68,0.26
300,2.33,10.16,2.53
310,4.16,10.73,5.94
320,6.42,11.34,7.21
330,7.23,12.14,8.8
340,7.13,12.94,9.51
350,6.26,14.0,9.84
360,5.82,15.26,10.15
370,6.23,16.14,10.93
380,7.03,16.31,12.39
390,8.81,16.63,13.75
400,10.81,16.04,15.15
410,12.51,15.12,15.84
420,13.48,14.44,15.92
430,13.37,14.27,15.43
440,12.51,14.24,14.71
450,11.62,14.78,14.18
460,11.2,15.4,14.14
470,11.46,15.16,14.41
480,12.39,14.32,15.25
490,11.88,13.46,15.09
500,11.33,13.41,14.18
510,10.87,13.31,12.94
520,9.5,13.21,12.14
530,8.74,12.97,11.76
540,8.52,12.55,12.07
550,8.51,12.1,12.64
560,8.53,11.65,12.94
570,8.59,11.33,13.09
580,8.24,11.23,13.25
590,7.37,11.57,13.46
600,6.51,11.98,13.87
610,5.99,12.25,14.4
620,5.81,12.25,14.9
630,5.59,12.5,15.26
640,5.28,13.12,15.24
650,5.11,13.69,14.9
660,5.35,13.84,14.46
670,5.76,14.08,13.72
680,6.22,14.61,12.73
690,6.85,14.56,11.4
700,7.4,14.36,9.79
710,7.95,13.92,8.07
720,8.43,13.32,6.27
730,8.73,12.3,4.65
740,8.44,11.36,3.34
750,7.6,10.86,2.37
760,7.36,9.98,1.65
770,6.8,9.01,0.59
780,5.58,8.06,-0.2
790,4.8,7.14,-0.93
800,4.49,6.39,-1.71
810,4.23,5.22,-2.27
820,4.03,4.01,-2.53
830,4.06,3.26,-2.48
840,4.24,2.76,-2.27
850,4.53,2.39,-2.17
860,4.94,2.04,-2.27
870,5.41,1.52,-2.37
880,5.95,0.85,-2.5
890,6.35,0.09,-2.47
900,6.5,-0.56,-2.24
910,6.49,-1.08,-1.96
920,6.23,-1.51,-1.64
930,5.77,-2.1,-1.68
940,5.24,-2.69,-1.81
950,4.51,-3.32,-2.32
960,3.62,-3.96,-2.71
970,2.94,-4.35,-2.86
980,2.31,-4.29,-2.62
990,1.8,-4.62,-2.04
1000,1.6,-4.9,-1.12
