timestamp,x,y,z
0,6.14,-5.17,3.04
10,5.74,-5.47,2.55
20,5.28,-5.82,2.06
30,4.97,-6.04,1.68
40,4.83,-6.25,1.36
50,4.7,-6.42,1.15
60,4.52,-6.57,1.13
70,4.47,-6.75,1.22
80,4.64,-6.84,1.54
90,5.04,-6.77,1.98
100,5.59,-6.51,2.6
110,6.2,-6.35,3.25
120,6.74,-6.24,3.97
130,7.15,-6.09,4.68
140,7.45,-5.91,5.33
150,7.56,-5.74,5.86
160,7.51,-5.67,6.17
170,7.32,-5.82,6.27
180,7.08,-5.76,6.07
190,6.65,-5.78,5.61
200,6.05,-5.76,5.0
210,5.34,-5.7,4.21
220,4.57,-5.61,3.29
230,3.81,-5.38,2.35
240,2.98,-5.21,1.42
250,0.83,-5.21,1.0
260,-1.87,-4.66,-2.83
270,-2.03,-4.18,-5.56
280,-3.09,-4.16,-7.02
290,-3.71,-4.14,-8.61
300,-4.5,-3.88,-11.51
310,-5.36,-3.35,-12.64
320,-7.02,-2.54,-13.74
330,-8.99,-1.23,-13.75
340,-10.92,0.64,-12.59
350,-11.95,3.13,-10.64
360,-11.87,5.82,-7.69
370,-11.1,9.15,-4.32
380,-9.98,12.38,-2.32
390,-6.91,15.48,0.13
400,-2.86,18.29,5.9
410,1.65,19.63,8.78
420,4.93,20.77,11.61
430,7.17,21.3,13.45
440,8.07,22.89,14.65
450,8.4,24.12,15.15
460,8.92,24.56,15.35
470,9.71,24.34,15.56
480,10.95,24.07,16.1
490,12.29,23.19,17.02
500,13.64,21.78,17.93
510,14.9,19.77,18.39
520,15.03,17.85,18.3
530,14.9,16.52,17.85
540,14.67,15.74,17.01
550,14.08,15.5,16.19
560,13.43,15.44,15.62
570,12.69,15.4,15.43
580,11.86,15.19,15.49
590,10.93,14.74,15.72
600,9.61,14.08,15.97
610,8.3,13.47,15.97
620,6.98,12.72,15.73
630,5.76,12.14,15.26
640,4.63,11.69,14.54
650,3.63,11.48,13.74
660,2.74,11.47,13.01
670,1.78,11.8,12.36
680,0.95,12.29,11.81
690,0.34,12.81,11.65
700,0.02,12.78,11.75
710,0.23,12.81,11.86
720,0.72,13.08,12.14
730,1.13,13.27,12.61
740,1.46,13.4,12.89
750,1.82,13.28,12.95
760,2.6,13.18,12.68
770,3.63,13.73,12.12
780,4.72,14.77,11.32
790,6.05,15.89,10.49
800,7.74,16.88,9.81
810,9.49,17.88,9.35
820,10.78,18.25,8.94
830,12.16,18.23,8.13
840,13.35,17.8,6.8
850,14.0,17.3,5.2
860,13.91,16.69,3.56
870,13.39,16.07,2.08
880,12.54,15.38,0.68
890,11.41,14.52,-0.32
900,10.17,13.62,-1.26
910,8.76,13.15,-2.12
920,4.32,12.09,-2.94
930,-0.96,11.82,-6.69
940,-3.3,9.02,-7.31
950,-4.43,6.02,-8.75
960,-3.55,3.7,-10.01
970,-2.18,2.09,-10.7
980,-0.86,1.0,-10.97
990,0.43,0.13,-11.14
1000,1.59,-0.75,-10.99
