timestamp,x,y,z
0,2.4,-5.83,6.95
10,2.43,-5.91,6.89
20,2.52,-5.96,7.08
30,2.51,-5.95,7.38
40,2.45,-5.91,7.61
50,2.47,-5.93,7.86
60,2.61,-6.0,8.19
70,2.72,-5.99,8.5
80,2.82,-5.96,8.5
90,2.85,-5.97,8.08
100,2.74,-5.98,7.58
110,2.46,-5.99,7.19
120,2.01,-5.96,7.0
130,1.63,-5.9,6.96
140,1.45,-5.83,6.89
150,1.46,-5.76,6.74
160,1.49,-5.67,6.41
170,1.39,-5.52,6.02
180,1.3,-5.41,5.54
190,0.81,-5.17,4.87
200,-0.35,-4.83,3.79
210,-2.56,-4.11,2.08
220,-5.68,-2.82,-0.93
230,-8.74,-0.84,-5.11
240,-7.72,-0.31,-10.11
250,-3.46,-1.04,-16.31
260,0.56,0.28,-17.32
270,2.32,3.03,-13.42
280,1.06,7.8,-7.05
290,-0.34,10.6,0.52
300,0.62,11.65,5.28
310,2.7,11.13,7.06
320,3.55,10.5,7.45
330,3.39,10.43,7.86
340,2.75,10.64,9.33
350,2.33,11.06,12.54
360,2.79,11.35,16.54
370,3.77,12.14,20.87
380,4.4,12.77,25.62
390,5.14,11.66,28.95
400,6.9,11.22,30.33
410,8.26,10.76,30.41
420,8.37,9.28,23.88
430,6.98,8.98,18.14
440,6.58,7.35,12.99
450,6.96,6.17,9.9
460,7.87,5.06,8.79
470,8.2,4.93,8.7
480,7.24,5.18,9.27
490,5.61,5.1,10.23
500,4.07,5.09,11.06
510,2.75,4.9,11.85
520,2.22,4.82,12.2
530,1.93,4.63,12.32
540,1.71,4.59,12.91
550,1.83,4.31,13.64
560,2.12,4.18,13.95
570,2.41,4.21,14.36
580,2.82,4.46,15.22
590,3.28,4.7,16.42
600,3.58,5.43,17.47
610,3.91,6.3,18.0
620,3.62,6.34,18.33
630,3.53,6.2,18.63
640,3.16,6.14,19.09
650,2.64,6.11,19.75
660,2.03,6.1,20.49
670,1.7,6.68,20.74
680,1.96,7.77,20.41
690,2.34,9.05,19.45
700,3.18,10.02,17.69
710,4.66,10.7,14.64
720,6.53,11.09,10.51
730,7.97,10.55,6.41
740,8.85,9.06,3.08
750,9.29,7.23,0.93
760,9.0,5.28,0.18
770,8.06,3.43,0.46
780,6.76,2.14,1.11
790,5.29,1.28,1.45
800,4.13,0.64,1.34
810,3.47,0.0,0.75
820,3.3,-0.77,-0.2
830,3.09,-1.47,-1.23
840,2.78,-2.06,-2.23
850,2.67,-2.51,-3.24
860,2.84,-3.02,-4.21
870,3.14,-3.71,-5.06
880,3.23,-4.49,-5.65
890,2.91,-5.18,-5.85
900,2.23,-5.64,-5.65
910,1.45,-5.9,-5.01
920,0.99,-5.88,-3.94
930,1.27,-5.8,-2.38
940,2.29,-5.85,-0.74
950,3.52,-5.96,0.6
960,4.49,-5.99,1.69
970,4.93,-6.04,2.63
980,4.86,-6.11,3.47
990,4.37,-6.13,4.25
1000,3.88,-6.09,4.95
